lemma,frequency,gloss_source,gloss,hdbscan_cluster,hdbscan_label,ward_12,ward_12_label,ward_25,ward_25_label,ward_50,ward_50_label,ward_100,ward_100_label,ward_150,ward_150_label,ward_200,ward_200_label,ward_250,ward_250_label
σύμπας,8,lsj,"all together, all at once; the whole; as a whole; general",182,"greatest, nouns, quantifier, yea",11,"glad, delight, good, care",23,"mighty, courage, strength, equal",44,"mighty, glorious, famous, countless",88,"mighty, countless, immense, exceedingly",129,"mighty, countless, immense, exceedingly",170,"perfect, wholly, complete, entire",212,"perfect, wholly, complete, entire"
ἀπολύω,8,lsj,"loose from; from; undo; set free, release, relieve from",262,"carry, away, snatch, remove",6,"leap, away, come, send",10,"away, cut, shut, break",20,"return, away, leave, retire",38,"return, away, leave, retire",57,"away, leave, retire, withdraw",73,"away, leave, retire, withdraw",89,"away, leave, retire, withdraw"
παρέρχομαι,8,lsj,"ibo; go by, beside; past, pass by; passed away",297,"pass, drive, past, traverse",6,"leap, away, come, send",13,"flee, lead, come, send",25,"come, lead, send, accomplish",51,"come, lead, arrive, ibo",73,"come, lead, arrive, ibo",98,"come, ibo, approach, reach",120,"ibo, come, approach, pass"
ἐρέτης,8,lsj,rowers; oars; era; aritár,72,"oar, rowing, rowers, long",1,"draw, chariot, hair, swift",2,"draw, chariot, bronze, dart",2,"bronze, axe, spear, pointed",6,"shaft, oar, rod, bar",7,"shaft, oar, rod, bar",10,"oar, rowing, rowers, handle",13,"oar, rowing, rowers, handle"
πλοῦτος,8,lsj,"wealth, riches; treasures; treasure; Plutus",146,"wealth, riches, treasures treasure, prosper choose",11,"glad, delight, good, care",23,"mighty, courage, strength, equal",44,"mighty, glorious, famous, countless",88,"mighty, countless, immense, exceedingly",129,"mighty, countless, immense, exceedingly",171,"mighty, immense, countless, exceedingly",213,"mighty, immense, countless, exceedingly"
μηνίω,8,lsj,"cherish wrath, be wroth against; because of",269,"wrath, angry, guilt, indignation",12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",50,"wrath, pain, baneful, anger",100,"wrath, hateful, rage, cruel",149,"wrath, strike, rage, raging",198,"wrath, strike, rage, raging",247,"wrath, outrage, curses, sinner"
μείρομαι,8,lsj,receive as oneʼs portion; oneʼs due; take; as thy due,-1,(outlier),6,"leap, away, come, send",10,"away, cut, shut, break",19,"cut, break, strip, end",37,"break, end, asunder, twain",53,"half, twain, divided, portion",69,"half, twain, divided, apart",85,"half, twain, divided, apart"
σκηπτοῦχος,8,lsj,"bearing a staff, baton; sceptre; sceptred; wand-bearer",221,"axe, shaft, pole, sword",1,"draw, chariot, hair, swift",2,"draw, chariot, bronze, dart",2,"bronze, axe, spear, pointed",6,"shaft, oar, rod, bar",7,"shaft, oar, rod, bar",11,"shaft, rod, bar, trumpet",14,"shaft, rod, bar, trumpet"
μάρτυρος,8,agwn,a person who attests to the genuineness of a document or signature by adding their own signature,-1,(outlier),12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",48,"swear, oath, reproach, counsel",96,"swear, oath, counsel, pray",144,"swear, oath, pray, pledge",192,"oath, swear, pledge, assent",239,"swear, oath, pledge, assent"
μινυνθάδιος,8,lsj,short-lived; small,32,"small, little, better, worse",11,"glad, delight, good, care",23,"mighty, courage, strength, equal",45,"courage, strength, equal, wrought",90,"fat, firm, smooth, small",131,"small, little, worse, inferior",173,"small, little, worse, short",215,"little, small, short, slight"
καταρρέζω,8,lsj,"pat, stroke, caress",123,"touch, surface, handle, scratch",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",85,"abydos, irus, ti, manger",110,"abydos, ti, irus, cithara",137,"irus, abydos, luo, manger"
διαπράσσω,8,lsj,pass over; made their way over; may finish; went through,297,"pass, drive, past, traverse",6,"leap, away, come, send",13,"flee, lead, come, send",26,"flee, wander, drive, rush",53,"wander, pass, drive, dwell",77,"pass, drive, measure, road",102,"pass, drive, measure, road",125,"pass, traverse, right, drive"
ὀνείδειος,8,lsj,reproachful; of reproach; dishonourable,283,"reproach, dishonour, disgrace, blame",12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",48,"swear, oath, reproach, counsel",95,"reproach, dishonour, blame, disgrace",141,"reproach, dishonour, blame, disgrace",188,"reproach, dishonour, blame, disgrace",234,"reproach, dishonour, blame, disgrace"
δικάζω,8,lsj,"Bis Acc; judge, sit in judgement; sit as a juror; give judgement on, decide, determine",-1,(outlier),12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",48,"swear, oath, reproach, counsel",95,"reproach, dishonour, blame, disgrace",141,"reproach, dishonour, blame, disgrace",187,"pay, debt, accuse, obligation",233,"pay, debt, accuse, obligation"
ἐριδαίνω,8,lsj,"wrangle, quarrel; strive; compete in",22,"quarrel, strife, contend, wrangle",9,"fear, sleep, years, day",18,"fear, hide, fight, shield",38,"fight, quarrel, battle, strife",75,"fight, battle, quarrel, strife",112,"fight, battle, quarrel, strife",150,"fight, battle, quarrel, strife",189,"fight, battle, quarrel, strife"
γέλως,8,lsj,laughter; ridiculous; joke; laugh,-1,(outlier),9,"fear, sleep, years, day",18,"fear, hide, fight, shield",37,"laugh, mock, lycia, shudder",73,"laugh, mock, shudder, swell",108,"laugh, mock, shudder, story",143,"laugh, shudder, swell, swollen",179,"laugh, shudder, quivering, siren"
ἥλιος,8,lsj,"sun; the light of life, live; East; eastern",165,"light, sun, rays, east",4,"burn, dark, wind, heat",7,"burn, dark, heat, wind",13,"dark, black, white, grey",29,"light, bright, radiant, shine",41,"light, bright, shine, radiant",56,"light, bright, shine, radiant",67,"light, sun, rays, east"
οὖλος3,8,lsj (homograph 3),"destructive, baneful, cruel; cruel; death-cry",109,"mischief, bane, plague, ruin",12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",50,"wrath, pain, baneful, anger",100,"wrath, hateful, rage, cruel",150,"hateful, cruel, baneful, hated",199,"baneful, mischief, plague, hurt",248,"baneful, mischief, plague, hurt"
κηρύσσω,8,lsj,"to be a herald, officiate as herald; to be an auctioneer; make proclamation as a herald; by voice of herald",-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",30,"address, ruler, leader, lord",61,"address, speak, named, herald",88,"address, speak, named, herald",115,"address, speak, herald, messenger",143,"address, speak, herald, messenger"
ἀλαλητός,8,lsj,"shout of victory; war-cry, battle-shout; loud shouting; halloo",163,"shout, loud, battle, shriek",10,"loud, sound, shout, lament",21,"loud, sound, shout, lament",42,"loud, sound, shout, voice",82,"lament, shout, wail, groan",121,"lament, shout, wail, groan",159,"lament, shout, wail, groan",198,"shout, crying, loud, battle"
δειδίσσομαι,8,lsj,"frighten, alarm; to scare; away; fear",236,"fear, alarm, cower, terror",9,"fear, sleep, years, day",18,"fear, hide, fight, shield",39,"fear, hide, shield, cower",76,"fear, cower, alarm, shrink",113,"fear, shrink, alarm, cower",151,"fear, shrink, alarm, cower",190,"fear, shrink, alarm, cower"
κοίρανος,8,lsj,"king; ruler; leader, commander; lord, master",8,"lord, king, ruler, leader",7,"born, son, old, ruler",15,"ruler, address, leader, divine",30,"address, ruler, leader, lord",60,"lord, ranks, ruler, leader",87,"lord, ranks, ruler, leader",112,"lord, ruler, king, master",140,"lord, ruler, king, master"
ἀπονόσφι,8,lsj,"far apart, aloof; far away from",298,"far, away, aloof, distant",6,"leap, away, come, send",12,"far, outside, near, hither",24,"outside, far, near, hither",47,"far, near, nigh hand, away",69,"far, near, nigh, away",89,"far, away, aloof, apart",108,"far, away, aloof, apart"
κερτομέω,8,lsj,"taunt, sneer at; sneer",-1,(outlier),9,"fear, sleep, years, day",18,"fear, hide, fight, shield",37,"laugh, mock, lycia, shudder",73,"laugh, mock, shudder, swell",108,"laugh, mock, shudder, story",143,"laugh, shudder, swell, swollen",179,"laugh, shudder, quivering, siren"
ἄνεω,8,lsj,"without a sound, in silence",-1,(outlier),10,"loud, sound, shout, lament",21,"loud, sound, shout, lament",42,"loud, sound, shout, voice",84,"voice, speech, song, hear",124,"voice, speech, hear, sound",163,"hear, silence, sound, noise",204,"hear, silence, sound, noise"
πολεμήιος,8,lsj (relaxed match),warlike; war,-1,(outlier),9,"fear, sleep, years, day",18,"fear, hide, fight, shield",37,"laugh, mock, lycia, shudder",74,"lycia, shrewd, look, thrace",109,"lycia, shrewd, look, thrace",146,"lycia, shrewd, thrace, angry",184,"angry, cowardly, warlike, godlike"
ἱδρόω,8,lsj,"sweat, perspire; shall reek with sweat",97,"dry, dried, salt, parched",1,"draw, chariot, hair, swift",3,"hair, skin, wool, cloth",6,"hair, neck, skin, milk",13,"neck, milk, oil, table",16,"oil, skin, serpent, fish",22,"skin, serpent, fish, hoof",27,"skin, serpent, fish, hoof"
μέλαθρον,8,lsj,"roof-tree, ridgepole; beam; roof; house",274,"roof, door, lintel, threshold",2,"double, round, stretch, house",4,"house, stone, door, roof",7,"house, stone, door, wall",14,"house, roof, door, home",20,"roof, door, gates, wall",27,"roof, door, gates, wall",35,"roof, door, gates, folding"
νομός,8,lsj,"place of pasturage; pasture; herbage, pasture; food",-1,(outlier),3,"tree, plant, corn, wood",6,"tree, plant, wood, corn",12,"ashes, corn, barley, scatter",27,"corn, barley, pasture, land",38,"pasture, land, wild, grazed",53,"pasture, land, wild, grazed",63,"pasture, land, wild, corn"
ποιήεις,8,lsj,grassy,127,"meadow, pasture, grassy, ground backwater",3,"tree, plant, corn, wood",6,"tree, plant, wood, corn",12,"ashes, corn, barley, scatter",27,"corn, barley, pasture, land",38,"pasture, land, wild, grazed",53,"pasture, land, wild, grazed",63,"pasture, land, wild, corn"
Ἀθῆναι,8,lsj,the city of Athens; to Athens; from Athens; at Athens,249,"achaian, thebes, greeks, abydos",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",57,"troy, olympus, land, trojan",83,"troy, olympus, land, trojan",108,"troy, land, olympus, trojan",134,"troy, olympus, trojan, athens"
Μυκήνη,8,lsj,"Mycene, Mycenae; Mycenaean; a Mycenaean; from Mycene",249,"achaian, thebes, greeks, abydos",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",57,"troy, olympus, land, trojan",83,"troy, olympus, land, trojan",108,"troy, land, olympus, trojan",134,"troy, olympus, trojan, athens"
νῶροψ,8,lsj,flashing; bright,167,"flashing, lightning, sparkling, twinkling",4,"burn, dark, wind, heat",7,"burn, dark, heat, wind",13,"dark, black, white, grey",29,"light, bright, radiant, shine",41,"light, bright, shine, radiant",56,"light, bright, shine, radiant",68,"bright, shine, radiant, shining"
ἄντομαι,8,lsj,"meet; opposed; stopped; meet with favour, greet",80,"meet, encounter, face, fall",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",31,"gather, meet, set, ready",63,"gather, meet, collect, people",91,"gather, meet, collect, assemble",119,"gather, meet, collect, assemble",147,"meet, face, encounter, fall"
στεῦμαι,8,lsj,"make as if one would.., promise; threaten that one will; declares; boasts",116,"promise, tell, boasts, deem",12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",48,"swear, oath, reproach, counsel",96,"swear, oath, counsel, pray",143,"cheat, trial, attempt, promise",190,"cheat, trial, attempt, promise",237,"trial, attempt, promise, expect"
ἐμβαίνω,8,lsj,"step in; go on, go quickly; advance!; embark",-1,(outlier),8,"gather, eat, set, ask",16,"gather, eat, ask, prize",31,"gather, meet, set, ready",62,"ready, set, build, prepare",90,"set, ready, fit, order",117,"set, ready, fit, order",145,"set, ready, fit, order"
δυώδεκα,8,lsj,twelve,294,"tenth, seventh, eleventh, twentieth",9,"fear, sleep, years, day",17,"day, years, time, early",35,"years, sum, thousand, fifth",69,"years, sum, number, fifth",103,"years, sum, number, thousand",136,"years, fifth, number, seven",169,"years, fifth, seven, count"
ἀγέρωχος,8,lsj,"high-minded, lordly; noble; lordly; high-spirited",-1,(outlier),12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",50,"wrath, pain, baneful, anger",100,"wrath, hateful, rage, cruel",150,"hateful, cruel, baneful, hated",200,"hateful, hated, ruthless, cruel",250,"ruthless, grudge, cruel, ugly"
λωτός,8,lsj,"clover, trefoil, Trifolium fragiferum; fellbloom, Lotus corniculatus; fenugreek, Trigonella Foenum-graecum; wild fenugreek, T. gladiata",154,"poppy, saffron, arum, seaweed",3,"tree, plant, corn, wood",6,"tree, plant, wood, corn",11,"tree, plant, wood, grapes",24,"tree, wood, grapes, pine",34,"grapes, fig, tree, fruit",46,"saffron, arum, poplar, olive",55,"arum, saffron, poplar, olive"
ἱμάσσω,8,lsj,flog; smote; smites; with lightnings,124,"burn, kindle, smoke, heat",4,"burn, dark, wind, heat",7,"burn, dark, heat, wind",13,"dark, black, white, grey",29,"light, bright, radiant, shine",42,"heaven, cloud, air, sky",57,"heaven, cloud, air, sky",69,"thunder, lightning, flash, lighten hurl"
ἀγρότερος,8,lsj,"wild; countrymen; fond of the chase, huntress; the huntress",142,"prey, beasts, chase, wild",1,"draw, chariot, hair, swift",1,"swift, goat, wild, bird",1,"swift, goat, bird, wild",1,"herd, goat, cattle, wild",1,"herd, goat, cattle, wild",1,"beasts, prey, chase, huntress",1,"beasts, prey, chase, hunting"
κεραίζω,8,lsj (relaxed match),"ravage, plunder; sink, disable; slaughter; carry off as plunder",143,"destroy, utterly, perish, waste",12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",49,"slay, destroy, sacrifice, slain",97,"destroy, perish, utterly, waste",145,"destroy, utterly, perish, waste",193,"destroy, utterly, perish, waste",240,"destroy, utterly, perish, waste"
ἐνοπή,8,lsj,"crying, shouting; war-cry, battle-shout; battle; cry",163,"shout, loud, battle, shriek",10,"loud, sound, shout, lament",21,"loud, sound, shout, lament",42,"loud, sound, shout, voice",82,"lament, shout, wail, groan",121,"lament, shout, wail, groan",159,"lament, shout, wail, groan",198,"shout, crying, loud, battle"
ἀθέσφατος,8,lsj,"beyond even a godʼs power to express, unutterable; not according to a godʼs utterance, unblest, portentous, awful; vast",138,"countless, immense, boundless, unutterable",12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",46,"pity, idle, vain, blind",92,"idle, pity, vain, blind",136,"powerless, tolerable, force, endure",179,"tolerable, stubborn, invincible, ceaseless",224,"tolerable, stubborn, unceasing, invincible"
σῶμα,8,lsj,"body; dead body, corpse; living body; life",36,"dead, life, living, live",12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",49,"slay, destroy, sacrifice, slain",98,"slay, sacrifice, slain, dead",147,"dead, mortal, funeral, burial",195,"mortal, dead, die, life",242,"mortal, dead, die, life"
πρόμος,8,lsj,foremost man; opposed to; in the front rank; chief,7,"chief, leader, rule, sway",7,"born, son, old, ruler",15,"ruler, address, leader, divine",30,"address, ruler, leader, lord",60,"lord, ranks, ruler, leader",87,"lord, ranks, ruler, leader",113,"ranks, leader, commander, chiefs",141,"ranks, leader, commander, chiefs"
χάρμα,8,lsj,"source of joy, delight; source of malignant joy; joy, delight",-1,(outlier),11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",86,"glad, delight, heart, rejoice",126,"glad, delight, rejoice, awe",165,"glad, delight, sweet, joy",207,"glad, delight, sweet, joy"
πολυβότειρα,8,lsj,much; all-nourishing,145,"cunning, wily, crafty, profitable",11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",85,"care, heed, succour, cure",125,"care, heed, succour, cure",164,"care, heed, succour, cure",205,"cure, heal, remedy, medicine"
γνωτός,8,lsj,"perceived, understood, known; well-known",308,"know, perceive, wisdom, distinguish",12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",47,"know, destiny, perceive, oracle",93,"know, perceive, recognize, learn",138,"know, perceive, recognize, learn",184,"know, perceive, recognize, learn",230,"know, perceive, recognize, learn"
τηλύγετος,8,lsj,"a darling son, petted child; only; of oneʼs old age; the only",111,"son, child, offspring, infant",7,"born, son, old, ruler",14,"born, old, wife, marriage",28,"born, old, age, young",56,"born, mother, travail, birth",81,"mother, son, father, child",106,"mother, son, father, child",131,"mother, son, father, child"
πύξ,8,lsj,with the fist; at boxing; by boxing; clenched,26,"fight, boxing, champion, wrestle",9,"fear, sleep, years, day",18,"fear, hide, fight, shield",38,"fight, quarrel, battle, strife",75,"fight, battle, quarrel, strife",112,"fight, battle, quarrel, strife",150,"fight, battle, quarrel, strife",189,"fight, battle, quarrel, strife"
αἶσχος,8,lsj,"shame, disgrace; disgraceful deeds; ugliness, deformity",283,"reproach, dishonour, disgrace, blame",12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",50,"wrath, pain, baneful, anger",100,"wrath, hateful, rage, cruel",150,"hateful, cruel, baneful, hated",200,"hateful, hated, ruthless, cruel",250,"ruthless, grudge, cruel, ugly"
ἀσκός,8,lsj,"skin, hide; skin made into a bag; wineskin; bag",231,"leathern, strap, thong, wallet",1,"draw, chariot, hair, swift",3,"hair, skin, wool, cloth",6,"hair, neck, skin, milk",13,"neck, milk, oil, table",16,"oil, skin, serpent, fish",22,"skin, serpent, fish, hoof",27,"skin, serpent, fish, hoof"
κνημίς,8,lsj,"greave, legging; leggings; spoke of a wheel",179,"thigh, limb, knee, shoulder",1,"draw, chariot, hair, swift",2,"draw, chariot, bronze, dart",2,"bronze, axe, spear, pointed",6,"shaft, oar, rod, bar",7,"shaft, oar, rod, bar",9,"prop, pointed, spin, thread",11,"armour, slip, fetters, crane"
δολοφρονέων,8,lsj,"planning craft, wily-minded",-1,(outlier),8,"gather, eat, set, ask",16,"gather, eat, ask, prize",31,"gather, meet, set, ready",62,"ready, set, build, prepare",90,"set, ready, fit, order",117,"set, ready, fit, order",145,"set, ready, fit, order"
νεμεσητός,8,lsj,"causing indignation; wrath, worthy of it; it is matter for indignation; retributive",269,"wrath, angry, guilt, indignation",12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",50,"wrath, pain, baneful, anger",100,"wrath, hateful, rage, cruel",149,"wrath, strike, rage, raging",198,"wrath, strike, rage, raging",247,"wrath, outrage, curses, sinner"
ἀργής,8,lsj,"bright, glancing; vivid; fire; shining, white",166,"shine, bright, radiant, shining",4,"burn, dark, wind, heat",7,"burn, dark, heat, wind",13,"dark, black, white, grey",29,"light, bright, radiant, shine",41,"light, bright, shine, radiant",56,"light, bright, shine, radiant",68,"bright, shine, radiant, shining"
μεγαίρω,8,lsj,regard as too great; grudge; as too great; complain,-1,(outlier),12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",50,"wrath, pain, baneful, anger",100,"wrath, hateful, rage, cruel",150,"hateful, cruel, baneful, hated",200,"hateful, hated, ruthless, cruel",250,"ruthless, grudge, cruel, ugly"
πρέσβυς,8,lsj,old man; the elder; elders; elder,49,"old, elders, senator, chiefs",7,"born, son, old, ruler",14,"born, old, wife, marriage",28,"born, old, age, young",55,"old, age, youthful, childish",80,"old, age, youthful, childish",105,"old, age, youthful, childish",129,"old, long, ago, yesterday"
φοῖνιξ,8,agwn,a document that states some contractual relationship or grants some right,24,"stated, law, right, covenant",12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",48,"swear, oath, reproach, counsel",96,"swear, oath, counsel, pray",144,"swear, oath, pray, pledge",192,"oath, swear, pledge, assent",239,"swear, oath, pledge, assent"
ἄγαλμα,8,lsj,"glory, delight, honour; mere ornaments; pleasing gift; statue in honour of a god",121,"glory, honour, exult, delight",11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",86,"glad, delight, heart, rejoice",126,"glad, delight, rejoice, awe",166,"awe, rejoice, reverence, exult",208,"awe, rejoice, reverence, honour"
ἀναπίμπλημι,8,lsj,fill up; accomplish; having filled up the full measure; fill full of,96,"filled, satisfy, stuff, satiate",5,"pour, sea, wash, stream",9,"pour, wash, wine, water",18,"pour, wine, stream, flow",35,"pour, wine, drink, thirst",51,"pour, filled, satisfy, flow",66,"pour, filled, satisfy, flow",80,"filled, satisfy, satiate, swollen accomplish"
χάσκω,8,lsj,"yawn, gape; may; yawn; opening the mouth wide",-1,(outlier),6,"leap, away, come, send",11,"leap, rouse, tremble, throw",23,"leap, rouse, tremble, throw",45,"breathe, vomit, blow, spit",67,"breathe, blow, vomit, spit",85,"breathe, blow, vomit, spit",103,"breathe, blow, vomit, spit"
ἀμφιπένομαι,8,lsj,"to be busied about, take charge of; tending; made; a meal of",43,"feast, supper, banquet, festival",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",32,"eat, meal, feast, hunger",64,"eat, meal, feast, supper",95,"meal, feast, supper, banquet",123,"meal, feast, supper, banquet",152,"meal, feast, supper, banquet"
φρίσσω,8,lsj,"to be rough; uneven on the surface, bristle; bristle up, stand on end; having set up his bristly",123,"touch, surface, handle, scratch",6,"leap, away, come, send",10,"away, cut, shut, break",19,"cut, break, strip, end",36,"cut, strip, scrape, rub",52,"cut, strip, scrape, rub",68,"strip, scrape, rub, scratch",84,"scrape, rub, scratch, peel"
ψεύδω,8,lsj,"cheat by lies, beguile; to be cheated, deceived; I am; deceived",34,"cheat, false, true, truth",12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",48,"swear, oath, reproach, counsel",96,"swear, oath, counsel, pray",143,"cheat, trial, attempt, promise",190,"cheat, trial, attempt, promise",236,"cheat, false, deceive, true"
κάτειμι,8,lsj,"ibo; go, come down; go down; sail down",296,"come, ibo, came, depart",6,"leap, away, come, send",11,"leap, rouse, tremble, throw",22,"fall, lift, high, drop",42,"fall, lift, high, drop",62,"fall, drop, sink, let",79,"fall, drop, sink, let",96,"fall, drop, sink, let"
Σιμόεις,8,lsj,Simois,-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",85,"abydos, irus, ti, manger",110,"abydos, ti, irus, cithara",137,"irus, abydos, luo, manger"
αἴγειρος,8,lsj,"black poplar, Populus nigra",125,"bird, winged, corvus, poplar",3,"tree, plant, corn, wood",6,"tree, plant, wood, corn",11,"tree, plant, wood, grapes",24,"tree, wood, grapes, pine",34,"grapes, fig, tree, fruit",46,"saffron, arum, poplar, olive",55,"arum, saffron, poplar, olive"
λεῖος,8,lsj,"smooth; smooth, plain, not embroidered; unsculptured; unembossed",-1,(outlier),1,"draw, chariot, hair, swift",3,"hair, skin, wool, cloth",5,"cloth, wool, cord, girdle",10,"wool, cloth, garment, woven",12,"wool, cloth, garment, tunic",16,"wool, cloth, garment, tunic",20,"cloth, garment, tunic, woven"
ὀμφαλός,8,lsj,navel; umbilical cord; anything; like a navel,178,"breast, bowels, navel, belly",2,"double, round, stretch, house",5,"round, double, stretch, curved",9,"thigh, limb, bowels, shoulder",21,"thigh, limb, knee, shoulder",29,"bowels, navel, guts, belly",39,"bowels, navel, guts, belly",48,"bowels, navel, guts, belly"
παμφαίνω,8,lsj,shine; beam brightly; white-gleaming,166,"shine, bright, radiant, shining",4,"burn, dark, wind, heat",7,"burn, dark, heat, wind",13,"dark, black, white, grey",29,"light, bright, radiant, shine",41,"light, bright, shine, radiant",56,"light, bright, shine, radiant",68,"bright, shine, radiant, shining"
θηρατήρ,8,agwn,a watch with a hinged metal lid to protect the crystal,60,"watch, spy, visit, awake",9,"fear, sleep, years, day",18,"fear, hide, fight, shield",39,"fear, hide, shield, cower",77,"hide, shield, shelter, covered",115,"shield, shelter, hide, refuge",153,"shield, shelter, hide, refuge",192,"shield, shelter, hide, covered"
αἰόλος,8,lsj,"quick-moving, nimble; wriggling; glittering; changeful of hue, sheeny",166,"shine, bright, radiant, shining",11,"glad, delight, good, care",23,"mighty, courage, strength, equal",45,"courage, strength, equal, wrought",90,"fat, firm, smooth, small",132,"fat, firm, smooth, thickness",175,"firm, smooth, solid, easy",218,"sort, easy, appearance, precise"
πῆχυς,8,lsj,"forearm; arm; ulna; centrepiece, which joined the two horns of the bow",190,"arrow, bow, archer, shoot",1,"draw, chariot, hair, swift",2,"draw, chariot, bronze, dart",2,"bronze, axe, spear, pointed",6,"shaft, oar, rod, bar",7,"shaft, oar, rod, bar",11,"shaft, rod, bar, trumpet",14,"shaft, rod, bar, trumpet"
κυδαίνω,8,lsj,give; do honour to; glorified; delight,121,"glory, honour, exult, delight",11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",86,"glad, delight, heart, rejoice",126,"glad, delight, rejoice, awe",166,"awe, rejoice, reverence, exult",208,"awe, rejoice, reverence, honour"
ἀγκών,8,lsj,bend of the arm; elbow; arm; bend,237,"bend, curve, double, arm",2,"double, round, stretch, house",5,"round, double, stretch, curved",8,"round, stretch, curved, bend",17,"stretch, curved, bend, spread",24,"curved, bend, twisted, bent",32,"curved, bend, bent, twisted",40,"curved, bend, bent, twisted"
λάξ,8,lsj,with the foot; under foot,-1,(outlier),2,"double, round, stretch, house",5,"round, double, stretch, curved",9,"thigh, limb, bowels, shoulder",21,"thigh, limb, knee, shoulder",30,"thigh, limb, shoulder, knee",40,"thigh, limb, knee, shoulder",49,"thigh, limb, knee, shoulder"
Ἡρακλέης,8,lsj,Heracles; like Heracles,-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",30,"address, ruler, leader, lord",59,"divine, zeus, god, heracles",86,"divine, zeus, god, heracles",111,"divine, zeus, god, heracles",139,"heracles, temple, poseidon, zeus"
ἐρεβεννός,8,lsj,"dark, gloomy",180,"dark, murky, shady, cloudy",4,"burn, dark, wind, heat",7,"burn, dark, heat, wind",13,"dark, black, white, grey",28,"dark, black, grey, white",40,"dark, black, grey, white",55,"dark, black, grey, white",66,"dark, black, white, murky"
εὐφραίνω,8,lsj,"cheer, gladden; make merry, enjoy oneself; was rejoiced at; enjoy a pleasure",241,"glad, delight, cheer, pleasure",11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",86,"glad, delight, heart, rejoice",126,"glad, delight, rejoice, awe",165,"glad, delight, sweet, joy",207,"glad, delight, sweet, joy"
φηγός,8,lsj,"Valonia oak, Quercus Aegilops; the oak; acorn of the same tree; fāgus",176,"pine, cedar, acorn, quercus",3,"tree, plant, corn, wood",6,"tree, plant, wood, corn",11,"tree, plant, wood, grapes",24,"tree, wood, grapes, pine",33,"wood, pine, tree, cedar",45,"wood, pine, tree, cedar",54,"wood, pine, tree, cedar"
μυκάομαι,8,lsj,"low, bellow; rang; bellowed",-1,(outlier),10,"loud, sound, shout, lament",21,"loud, sound, shout, lament",42,"loud, sound, shout, voice",83,"loud, sound, roar, ring",122,"loud, sound, roar, ring",160,"loud, sound, roar, ring",201,"loud, sound, noise, roaring"
ἐπιτάρροθος,8,lsj,"helper, defender; master, lord",-1,(outlier),9,"fear, sleep, years, day",18,"fear, hide, fight, shield",38,"fight, quarrel, battle, strife",75,"fight, battle, quarrel, strife",111,"protector, helper, staunch, defender",149,"protector, helper, staunch, defender",188,"protector, helper, staunch, defender"
ἀκήριος,8,lsj,unharmed by the; unharmed; free from power of the Fates; having no,-1,(outlier),11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",85,"care, heed, succour, cure",125,"care, heed, succour, cure",164,"care, heed, succour, cure",206,"care, heed, succour, save"
ὑπέκ,8,lsj,"out from under, from beneath, away from",-1,(outlier),6,"leap, away, come, send",11,"leap, rouse, tremble, throw",22,"fall, lift, high, drop",41,"beneath, lowest, atop, lower",61,"beneath, lowest, atop, lower",78,"beneath, lowest, atop, lower",95,"beneath, lowest, atop, lower"
