verb,frequency,frame_hdbscan,frame_label,frame_ward_25,gloss,top_subjects,top_objects
ἐγείρω,51,12,"sweat, born, stir, rouse",19,"awaken, rouse; rouse, stir up; stir; wake up",νόος(2); Ὀδυσσεύς(2); Ζεύς(2); μελέδημα(1),Ἄρης(5); φύλοπις(3)
σεύω,51,15,"eat, devour, kindle, chase",12,"put in quick motion, drive; hunt, chase; drive away; set on, let loose at",κύων(4); αἰζηός(2); ἀνήρ(2); λαός(2),κύων(2); Τρώς(2); ὁδός(1); λέων(1)
πέτομαι,51,-1,(unassigned),12,"fly; fell suddenly; dart, rush; fly!",θυμός(4); ὀιστός(3); Ἀργειφόντης(2); ἐρετμόν(1),πεδίον(3); πνοή(1)
νοστέω,51,19,"return, sleep, assemble collect, company",21,"come home, return; return safe; return; come",Ὀδυσσεύς(6); ἄναξ(1); υἱός(1),οἶκος(1)
τέμνω,51,37,"strike, strip, wound, smite",12,"cut; cutting; cut, wound, maim; wound",φώς(2); χαλκός(2); ἀνήρ(1); Τρώς(1),ὅρκιον(9); γλῶσσα(4); φιλότης(3); κάρα(2); ῥίς(2)
ὀνομάζω,51,10,"admit, riot, send away, dismiss",2,"speak of by name, call; address by name; naming; name, specify",,ἀνήρ(3); ἄριστος(1); δῶρον(1)
ἐποτρύνω,51,13,"urge, know, remain, command",12,"stir up, excite, urge on; to urge; stirs up; against",θυμός(2); πλείων(1); Ἀντίνοος(1),υἱός(1); ξένος(1)
ἔρομαι,50,39,"abandon, congeal, curdle, portion",21,"ask, inquire; learn by inquiry; ask after; for",ἀνήρ(1); γενεά(1),
μίμνω,50,13,"urge, know, remain, command",23,"stay, stand fast; tarry; remain; remain, be left",Αἴας(2),ἠώς(6); ἀγρός(1); γάμος(1); ἄνεμος(1)
κατατίθημι,50,29,"taught, weave, send forward, set",23,"place, put, lay down; set; down in; take down",θεά(2); μένος(1); πομπεύς(1),χλαῖνα(4); τεῦχος(2); δίφρος(2); χρῆμα(1)
ζῶ,50,-1,(unassigned),22,"gṷiē-, gṷiō; live; of living men; living",Λαέρτης(1); Πηνελόπεια(1); υἱός(1),Μενέλαος(1); Σπάρτη(1); βίος(1)
ῥήγνυμι,49,42,"pass, cut twain, rend, right",9,"break asunder, rend, shatter; rend; make grievous; break for oneself, get broken",χαλκός(3); αἰχμή(2); ἔγχος(2); θύελλα(1),τεῖχος(7); φάλαγξ(5); πύλη(3); ὀχεύς(2); γύαλον(2)
ἔρδω,49,20,"sprinkle, roast, broil, let flow",12,to do; harm; let; practise,Κύκλωψ(2),ἑκατόμβη(6); κακός(6); θεός(3); ὅσος(3); ἔργον(2)
ῥέω,49,38,"stream, defile, stain, fall",9,"flow, run, stream, gush; runs with; a full stream; derive its stream",αἷμα(9); ἱδρώς(5); γαῖα(4); ὕδωρ(3); δάκρυον(2),ὦμος(1); κεφαλή(1); χείρ(1); ὕδωρ(1)
ὀρίνω,48,3,"moan, melt, hope, bade",25,"stir, raise; stir, move, excite; driving; wild",θυμός(7); ἦτορ(2); Τρώς(1); ἵππος(1),θυμός(20); πόντος(2); ἦτορ(1)
αὔω,48,31,"heavy, aim, disembark, cheat",23,"get a light, light a fire; take fire; ausa; haurio, haustum",Ἥρα(2); υἱός(2); θεά(1); ἀσπίς(1),ἑταῖρος(2); ἕκαστος(1)
ἐφέπω,48,18,"owe, crying, ply, dead",16,"ply, wield; apply, direct towards; against; ply, belabour, lay on to",Ἀχιλλεύς(2); πολύς(1),πότμος(23); θάνατος(4); μένος(3); ὀμφή(2); Πάτροκλος(2)
οὐτάω,47,37,"strike, strip, wound, smite",18,"wound, hurt, hit; wound by striking; thrusting; pierced",Ὀδυσσεύς(2); Αἴας(2); Διομήδης(2); Ὀιλιάδης(1),ἐγχείη(1); Δαμαστορίδης(1); Λειώκριτος(1)
κάμνω,47,36,"bind, luo, turn flight, loosen",9,work; wrought; build; win by toil,Ἥφαιστος(3); ἀνήρ(2); Ἐπειός(1); ὄσσα(1),γυῖον(3); ναῦς(1)
πλήσσω,46,37,"strike, strip, wound, smite",18,"struck with terror; amazement; strike, smite; strike",Τυδεΐδης(1); ἡνίοχος(1),μηρός(5); στῆθος(3); κλείς(2)
χώομαι,46,-1,(unassigned),14,to be angry; to be angry at; about; because of,Ἕκτωρ(2); Ἀπόλλων(1),κῆρ(3); ἑταῖρος(2); ἀνήρ(1)
ἡγέομαι,46,-1,(unassigned),23,"go before, lead the way; precede; to go before; might guide",Ἀθήνη(4); υἱός(4); Ἀμφίμαχος(3); Νάστης(3),ναῦς(2); Τρώς(2); ὁδός(1)
φορέω,45,28,"straight, wash hands, thrust away, bear",9,"repeated; habitual; bear to and fro, bear along; conveyed",κῦμα(3); θύελλα(2); Ὀδυσσεύς(1); ξένος(1),νέκυς(3); ὕδωρ(2)
νέμω,45,-1,(unassigned),23,"deal out, dispense; distribute; leave; pay",Ἀχιλλεύς(2); Μεσαύλιος(1); συβώτης(1),κύπελλον(2); τέμενος(2); μέθυ(2); πᾶς(2); μοῖρα(2)
νικάω,44,39,"abandon, congeal, curdle, portion",23,"conquer, prevail; conqueror; conquered; won the first prize",χείρων(2); βουλή(1),Ἶρος(2); ἀλήτης(2); πᾶς(2); φῦλον(2)
ἀναβαίνω,44,39,"abandon, congeal, curdle, portion",22,"go up, mount; go up to; goes up among; to trample on",δῖος(1); Μελάνθιος(1); αἰπόλος(1); γραῦς(1),ὑπερῷον(3); ἄνθρωπος(1); οὐρανός(1); Ὄλυμπος(1)
λούω,44,-1,(unassigned),12,lǎvo; *lovo; wash; wash the body,Πολυκάστη(1); θυγάτηρ(1); Χάρις(1),βρότος(3); τηλέμαχος(1); Πάτροκλος(1)
τείρω,44,-1,(unassigned),12,"oppress, distress, weaken; she was; distressed",θυμός(3); λιμός(2); ἱδρώς(2),γαστήρ(2); γῆρας(2)
ὠθέω,43,41,"shake, join, tremble, cause",18,"thrust, push; he kept pushing; pushed; rush",Ἀθήνη(2); Τρώς(2); Νότος(1),Ἀχαιός(3); ἀνήρ(2); Ἕκτωρ(2)
κήδω,43,26,"fulfil, spin, perform, accomplish",23,"trouble, distress; to be concerned, care for; mourn for; caring for",οἷος(1); θεός(1),οἶκος(3); θυμός(3); Δαναοί(3)
αἰδέομαι,43,9,"reproach, fear, awe, sense",1,"to be ashamed; from a sense of shame; stand in awe of, fear; show a sense of regard",,εὐνή(2); φῆμις(2); θεός(2); ἱερεύς(2)
καταδύω,43,35,"attain, come, reach, sink",12,"go down, sink, set; to be sunk; disabled; duck",ἥλιος(7); φάος(2),ὅμιλος(8); τεῦχος(3); πόλις(2); μῶλος(1); υἱός(1)
θωρήσσω,43,14,"arm, stay, strip, angry",19,"arm with a; arm; arm oneself, put oneʼs harness on; to arm yourselves withal",Ἀχαιός(2); Μολίων(1),Ἀχαιός(3); υἱός(2); τεῦχος(1); Μυρμιδόνες(1)
νεικέω,42,-1,(unassigned),23,"quarrel, wrangle with; quarrel; with; strove with him",ἀνήρ(2); Ἕκτωρ(2); συβώτης(1); Ἀντίνοος(1),Ὀδυσσεύς(2)
ἀλέομαι,42,37,"strike, strip, wound, smite",18,"avoid, shun; avoid; flee for oneʼs life",πτωχός(1); Ἰδομενεύς(1); Πουλυδάμας(1),ἔγχος(8); κήρ(4); μῆνις(3); νῆσος(2); βέλος(2)
νεμεσάω,42,-1,(unassigned),15,"feel just resentment, to be wroth at undeserved good; bad fortune; to be wroth with; grudge",ἀνήρ(1),Ζεύς(2); ἔργον(1); ἀνήρ(1)
κλίνω,42,37,"strike, strip, wound, smite",18,"śráyati; clinare, clivus; cause to lean, make to slope; slant",Κίκονες(1); ἔντεα(1); κάρα(1); Ἐννοσίγαιος(1),σάκος(3); ὦμος(3); ἅρμα(2); ἅλς2(1); κλισμός(1)
μερμηρίζω,41,19,"return, sleep, assemble collect, company",23,"to be anxious; thoughtful, to be in doubt; was debating; debated anxiously",Ὀδυσσεύς(4); θυμός(2); Μενέλαος(1),θυμός(4); ἕκαστος(4); φόνος(3); πολύς(2)
ἐπισεύω,41,0,"breathe, witch spell, set hurry, throw overthrow",13,"put in motion; against, set on; hurry; hasten to",δαίμων(4); θυμός(4); ὄνειρος(1); λαός(1),τεῖχος(3); κακός(2); δμώς(1); ὄνειρος(1)
στενάχω,41,-1,(unassigned),12,"groan, sigh, wail; groaning; bewail, lament",γυνή(4); ἑταῖρος(1); ἵππος(1); γέρων(1); πολίτης(1),Πάτροκλος(1)
κοιμάω,41,-1,(unassigned),23,"lull, put to sleep; put to bed; still, calm; soothe, assuage",δαίμων(1); Ὀδυσσεύς(1); ἀνήρ(1); ἱππότης(1),νεβρός(2); κῦμα(1); Τηλέμαχος(1)
ἵκω,40,35,"attain, come, reach, sink",12,"come; come to; are brought to; attain to, reach",χρεώ(3); ὕβρις(2); βία(2); ἀνήρ(2),οὐρανός(9); πόρος(3); φρήν(1)
φυλάσσω,40,-1,(unassigned),14,"keep watch and ward, keep guard; keep watch; watch; wait",ναῦς(2),δῶμα(4); πᾶς(4); νύξ(2); μῆλον1(1)
κάθημαι,40,-1,(unassigned),10,"to be seated, sit; as he sat there; sate; sit on",ἑταῖρος(1); ἡγήτωρ(1),
τύπτω,40,37,"strike, strip, wound, smite",12,"beat, strike, smite; beat; strike; beating",κάρα(2); παῖς(1),ἅλς1(6); ῥηγμίς(1); χθών(1)
προσφωνέω,40,-1,(unassigned),23,"call; speak to, address; address; call by name",Τηλέμαχος(5); ψυχή(5); υἱός(3); Ὀδυσσεύς(2),υἱός(4); πατήρ(3); Τηλέμαχος(2); Ὀδυσσεύς(2)
γηθέω,40,-1,(unassigned),21,rejoice; will rejoice; rejoice in doing; impune,Ὀδυσσεύς(7); παῖς(2); Ἀγαμέμνων(2),φρήν(3)
ἐποίχομαι,40,-1,(unassigned),18,"go towards, approach; draw near to; approach with hostile purpose, attack; go over, traverse",κῆρυξ(1); κῆλον(1); υἱός(1); Αἴας(1),ἔργον(5); ἱστός(4); πᾶς(2); μνηστήρ(1)
ἀείδω,40,24,"shut close, beckon, opened, sing",23,Il.Parv; sing; crow; hoot,ἀοιδός(6); θεός(1),οἶτος(2); κλέος(2); ὅσος(2)
ἅπτω,39,-1,(unassigned),9,fasten; bind to; having fastened; join,βέλος(5); γυνή(1); Θέτις(1),γόνυ(7); ναῦς(4); ὅπλον(2); πούς(2); γένειον(2)
ἐμβάλλω,39,-1,(unassigned),23,throw in; let; fall into; throw,θεός(4); Ἀθήνη(2); Πεισήνωρ(1); Κρονίων(1),θυμός(8); χείρ(5); ναῦς(5); ῥῆγος(4); σθένος(3)
ἀποβαίνω,39,31,"heavy, aim, disembark, cheat",23,"step off from; alight, disembark from; disembark; dismount",Ἀθήνη(5); Ἶρις(4); Ἑρμῆς(3),ἵππος(2); ναῦς(1); σχεδία(1)
μεθίημι,39,12,"sweat, born, stir, rouse",19,"set loose, let go; release; let; depart",Ποσειδεών(1); ῥῖγος(1),πόλεμος(6); χόλος(4); ἀλκή(3); βία(2)
ἐπείγω,39,40,"contain, hold, seize, catch",23,press by weight; presses; to be weighed down; overpowered,πόνος(1); οὖρος(1); ἀναγκαίη(1); κύων(1); ἄχθος(1),ὁδός(3); γάμος(2); Ἄρης(2); ἐρετμόν(1); χείρ(1)
φοβέω,39,16,"fight, retire, shrink, flee",14,"put to flight; terrify, alarm; to frighten; by terror",Ἀχαιός(3); Τρώς(2); λέων(1),ἀνήρ(2); Δαναοί(1); πολεμιστής(1)
ὁρμάω,38,14,"arm, stay, strip, angry",18,"set in motion, urge on, cheer on; tear; inspired; urged on",Ἀχιλλεύς(2); Κρονίων(1),πόλεμος(1); θεός(1); πεδίον(1); Ἀκάμας(1); Ἀγήνωρ(1)
καθίζω,38,22,"succour, face, hide cover, assembly",20,"make to sit down, seat; set, place; encamp; post",Ζεύς(1),Τρώς(2); Ἀχαιός(2)
ὄμνυμι,38,25,"swear, accuse, oath, say",22,swear; swear to; affirm; confirm by oath,ναῦς(2); ἑταῖρος(2),ὅρκος(16); πῆμα(3); εὐνή(3)
ὀλοφύρομαι,38,3,"moan, melt, hope, bade",25,"lament, wail, moan; lament; mourn for the ills of others; feel pity",ἦτορ(2); πατήρ(2); δάπεδον(1); Ἀχιλλεύς(1),Δαναοί(2); θυμός(1)
ἐνέπω,38,-1,(unassigned),22,tell; tell of; couldst tell; the tale of,ξένος(2),νημερτής(6); μῦθος(6); ὄλεθρος(2)
μενεαίνω,38,13,"urge, know, remain, command",18,desire earnestly; eagerly; long for; purpose,ἀγός(1),Ὀδυσσεύς(2); πῦρ(1); ἥρως(1); Ζεύς(1); Τρώς(1)
βούλομαι,37,22,"succour, face, hide cover, assembly",20,"will, wish, be willing; wish is will; willed; that supports",θεός(3); Ζεύς(3); θυμός(2),νίκη(6); Τρώς(3); νέκυς(1)
ἀράομαι,37,11,"pray, incur, need, born",23,pray to; invoke; pray; prayed,πᾶς(3); Διομήδης(2); μήτηρ(1); τέλος(1),κόρη(3); θεός(2); ἀθάνατος(2); Ἀθήνη(2)
εἴλω,37,-1,(unassigned),19,shut in; shut out; let them be shut out; ponded,Κύκλωψ(1); λαός(1); υἱός(1); ἄελλα(1); θάλασσα(1),Ἀχαιός(2); θήρ(1); ναῦς(1); βουλή(1)
ἰάχω,37,2,"roar, old, haste, shout",7,"cry, shout; shriek; ring, resound; roar",λαός(3); Ἀργεῖος(3); κῦμα(2); πέτρα(1); δμωή(1),
πελάζω,37,28,"straight, wash hands, thrust away, bear",9,"approach, draw near; draws to; come near; will",ἄνεμος(4); κῦμα(3); θεός(2); ὕδωρ(1); Ζεύς(1),χθών(6); ναῦς(5); κτῆμα(2); ὅπλον(2)
φθίω,37,25,"swear, accuse, oath, say",23,"kṣiṇā´ti, kṣiṇóti; Kṣīyante; ákṣitas; kṣeṣya",μείς(5); νύξ(4); ἦμαρ(3),οἶτος(1); θυμός(1)
ἀπαυράω,37,13,"urge, know, remain, command",23,,πόθος(1); μῆδος1(1); ἀγανοφροσύνη(1); Ζεύς(1); πόντος(1),θυμός(10); ἦτορ(3); τεῦχος(3)
ἐλεέω,36,39,"abandon, congeal, curdle, portion",23,"to have pity on, show mercy to; feel pity",Κρονίων(2); πατήρ(1); παῖς(1); Λυκομήδης(1); Ἀστεροπαῖος(1),ἄστυ(3); ἄλοχος(3); τέκνον(3)
ναιετάω,36,-1,(unassigned),22,"dwell; dwell in, inhabit; to be situated, lie; exist",Ἰθάκη(1); πατήρ(1); μήτηρ(1),Κρήτη(1); Ἰθάκη(1); Λυκία(1); οἰκίον(1); Στύρα(1)
φύω,36,38,"stream, defile, stain, fall",9,"bring forth, produce, put forth; made; grow; beget, engender",αἴγειρος(3); δένδρεον(3); ὕλη(2); κλήθρα(2),χείρ(8); ἀλλήλων(1)
πίμπλημι,36,35,"attain, come, reach, sink",12,fill; fill full of; filled; full,ὄσσε(4); ὄσσα(2); πεδίον(2); φρήν(2),δάκρυον(6); ἵππος(5); ἀνήρ(4); μένος(3); θεῖον(2)
ἐρείπω,36,41,"shake, join, tremble, cause",12,"throw; dash down, tear down; casts; down",δρῦς(2); ἀχερωίς(2); πίτυς(2); τεῖχος(1),ἔπαλξις(1); ὄχθη(1); τεῖχος(1)
ἰθύνω,36,28,"straight, wash hands, thrust away, bear",9,"make straight, straighten; guide in a straight line; let us drive; straight",κυβερνήτης(5); ἄνεμος(4),ναῦς(3); ἡμίονος(3); ἵππος(2); ἄμαξα(2)
ἴσχω,36,35,"attain, come, reach, sink",12,"keep back, restrain; keep; back; to keep",δέος(4); μνηστήρ(2); σηκός(1),λώβη(2); φάσγανον(1); μνηστήρ(1); κλαυθμός(1)
ἐξεναρίζω,36,37,"strike, strip, wound, smite",18,"strip; spoil; strip off; kill, slay",Ὀδυσσεύς(2); Ἰδομενεύς(1); Ἀντίλοχος(1); Αἰνείας(1),τεῦχος(4); υἱός(3)
ὀρέγω,36,32,"stretch, spread scatter, send, honour",19,"reach, stretch, stretch out; reach out, hold out, hand, give; extend; stretch oneself out, stretch forth oneʼs hand",Ζεύς(2); μνηστήρ(1); δράκων(1); Αἴας(1),κῦδος(10); χείρ(6); Ἕκτωρ(3); εὖχος(3)
ἀνίημι,36,-1,(unassigned),25,"send up; forth; spew up, vomit; make",θυμός(9); ὕπνος(5); μένος(2),θυμός(2); Τηλέμαχος(1)
χάζω,35,16,"fight, retire, shrink, flee",14,"cause to retire; force to retire from, bereave; deprive of; give way, draw",τόξον(2); Τρώς(2); Ἀχαιός(1); Δαναοί(1),ἀριστεύς(2); θυμός(2); ψυχή(2); κέλευθος(2); ἀνήρ(2)
ἐφίημι,35,19,"return, sleep, assemble collect, company",16,"send to; sent; set on, incite; throw",Ὀδυσσεύς(2); πᾶς(1); Ζεύς(1),μνηστήρ(8); χείρ(7); πότμος(6); βέλος(6)
πήγνυμι,35,42,"pass, cut twain, rend, right",9,"stick; fix in; fix in the earth, plant; pitch",δόρυ(4); βέλος(2); χαλκός(2); ἀκωκή(1); ἰός(1),δόρυ(6); ἐρετμόν(4); ἔγχος(2); μετάφρενον(2); τύμβος(1)
χαρίζομαι,35,-1,(unassigned),23,,πατήρ(3); Ὀδυσσεύς(1); εἷς(1),ἄποινα(3); Τρώς(3); Ἕκτωρ(2)
ἀκοντίζω,35,37,"strike, strip, wound, smite",18,hurl a javelin; use the javelin; hit; strike with javelin,Ἕκτωρ(4); ἕξ(1); μνηστήρ(1); Αἰνείας(1),δόρυ(3); Αἴας(3); αἰχμή(2); Ἰδομενεύς(2)
κρίνω,35,-1,(unassigned),22,"separate, put asunder, distinguish; pick out, choose; to choose; to be chosen out, distinguished",μένος(1); ἄριστος(1); κοῦρος(1),ἀνήρ(5); φώς(3); νεῖκος(2); ἄριστος(2); μνηστήρ(1)
τυγχάνω,35,33,"work, strait, pour, stand",12,happen to be at; she be; mayʼst; has been made,πολύς(2); ναῦς(2); πέτρα(1),ῥινός(1); φιλότης(1); Λακεδαίμων(1); πομπή(1)
ἡγεμονεύω,34,-1,(unassigned),23,lead the way; to lead; make; lead,υἱός(3); θεός(2); Τηλέμαχος(2),ὁδός(4); υἱός(1)
οὐτάζω,34,37,"strike, strip, wound, smite",18,,υἱός(2); Ὀδυσσεύς(2); Ἀγαμέμνων(2); Ἀντίλοχος(2),σάκος(5); χείρ(4); υἱός(3); στῆθος(2)
μήδομαι,34,25,"swear, accuse, oath, say",23,"to be minded, intend; resolve; counsels I should take; plan and do cunningly",Ζεύς(7); Αἴγισθος(3); δαίμων(2),ἔργον(11); κακός(8); ὄλεθρος(6)
εἴκω,34,40,"contain, hold, seize, catch",23,"to be like, seem likely",Αἴας(2); βῶλος(1); γέρων(1); Εὖρος(1),θυμός(4); βία(3); κάρτος(2)
ἀπιθέω,34,27,"speak, address, hear, exchange",23,disobeyed; fail to persuade,θεά(4); Ἥρα(3); Ἀθήνη(3); Ἀργειφόντης(2),μῦθος(1); Ἀγαμέμνων(1)
σπένδω,34,9,"reproach, fear, awe, sense",1,make a drink-offering; let; dedicate; by pouring an offering from,,θεός(5); Ζεύς(5); ἀθάνατος(2); Ποσειδεών(1); Ἀργειφόντης(1)
περάω,33,42,"pass, cut twain, rend, right",9,drive right through; pass right across; through; traverse,αἰχμή(3); ὄμβρος(2); ναῦς(1); ἀνήρ(1),λαῖτμα(2); θάλασσα(2); πύλη(2)
ἐρείδω,33,41,"shake, join, tremble, cause",9,"cause to lean, prop; piling; against; fix firmly, plant",ἀσπίς(2); θρόνος(1); χαίτη(1); λᾶας(1),ἔγχος(3); ἀσπίς(3); γαῖα(2); στόμα(1)
διώκω,33,-1,(unassigned),18,"cause to run, set in quick motion; pursue, chase; chase; follow",Τυδεΐδης(1); Ὀδυσσεύς(1); ἀμείνων(1),ἵππος(2); πεδίον(2); Ὀδυσσεύς(1); δόμος(1)
μογέω,33,-1,(unassigned),14,"toil, suffer; suffers; tired; with pain",Ἀργεῖος(2); Τρώς(2),πολύς(10); ὅσος(7); ἄλγος(4); κακός(4); τόσος(1)
βουλεύω,33,-1,(unassigned),14,"take counsel, deliberate; determine; resolve after deliberation; in council",πολύς(1); ἄριστος(1); Ἕκτωρ(1),βουλή(7); πῆμα(4); νόος(2)
εἰσέρχομαι,32,40,"contain, hold, seize, catch",23,"go in; into, enter; invaded; come into",ἀνήρ(1); πεῖνα(1),δόμος(3); εὐνή(2); τεῖχος(2); δῶμα(1)
γείνομαι,32,34,"king, inquire, ask, beget bring",22,to be born; at oneʼs birth; beget; bring forth,μήτηρ(8); Περίβοια(2); θεά(2),παῖς(7); υἱός(3)
ἐπιτίθημι,32,29,"taught, weave, send forward, set",23,"lay, put; place upon; laid on; set",Ἀχιλλεύς(2); Ἀθήνη(1); κόρη(1),θύρα(7); εἶδαρ(6); θυρεός(2)
κομίζω,32,-1,(unassigned),18,"take care of, provide for; receive, treat; attended to; attend, give heed to",βασιλεύς(1); Φείδων(1),ἔργον(3); ἱστός(3); ἠλακάτη(3); δῶμα(2)
δατέομαι,31,-1,(unassigned),12,divide among themselves; they share; are alike filled with; tear,Ἀχαιός(3); πᾶς(2); μνηστήρ(1); Τρώς(1),κτῆμα(5); μοῖρα(3); πᾶς(2); ληίς(2)
ἄπειμι,31,39,"abandon, congeal, curdle, portion",21,sum; to be away; far from; absent,ὁδός(2); ἀνήρ(1); μνηστήρ(1),φίλος(1); αἶα(1); πάτρη(1); μέγαρον(1)
ὀφείλω,31,18,"owe, crying, ply, dead",16,"owe, have to pay; account for; do I owe?; to be debtor",χρέος(2); ἀνήρ(1),πότμος(2); πολύς(1); χρέος(1)
πονέω,30,33,"work, strait, pour, stand",18,work hard; to suffer toil; he did his work; were busied,φυλακτήρ(1); Ἀχαιός(1),ἔργον(3); ὅπλον(2)
ἐπαίσσω,30,-1,(unassigned),12,"rush at; upon; rush upon; assail, assault",πολύς(1); χείρ(1),Κίρκη(2); τεῖχος(1); ναῦς(1); Ἕκτωρ(1)
γαμέω,30,-1,(unassigned),22,marry; take to wife; marry a wife; take for a paramour,Αἴγισθος(1); Νηλεύς(1),ἄλοχος(2); πλεῖστος(2); υἱός(1)
ἐκτελέω,30,25,"swear, accuse, oath, say",23,"bring to an end, accomplish, achieve; fulfil; PMag. Osl; will be accomplished",θεός(3); μείς(2); ἡμέρα(2); πατήρ(2); Ὀδυσσεύς(2),ἆθλος(4); ἔργον(3); φᾶρος(2)
ἱερεύω,30,15,"eat, devour, kindle, chase",12,sacrifice; offer sacrifice; slaughter; to slaughter for themselves,Ἀγαμέμνων(2); μένος(1); Ἀχαιός(1); Ἀλκίνοος(1),βοῦς(13); ὄις(6); ὗς(4); αἴξ(4)
ἀποτίνω,29,-1,(unassigned),24,repay; pay for; may atone for; made atonement,μνηστήρ(2); Ὀδυσσεύς(2); Ἀχαιός(2),βία(4); ὑπερβασία(3); πολύς(2); ποινή(2); τιμή(2)
ὀχθέω,29,22,"succour, face, hide cover, assembly",20,"to be sorely angered, vexed in spirit",θεός(2),
τιμάω,29,32,"stretch, spread scatter, send, honour",23,"honour, revere, reverence; bestow honours; reward; will honour",Κάστωρ(1); θεός(1); ἀθάνατος(1),Ἀχιλλεύς(4); ξένος(1); πατήρ(1)
λαγχάνω,29,39,"abandon, congeal, curdle, portion",18,obtain by lot; obtain as oneʼs portion; had; for my portion,γνωτός(2); Τρώς(2); ἄλοχος(2),αἶσα(3); πῦρ(3); τιμή(1)
τελευτάω,29,25,"swear, accuse, oath, say",22,"bring to pass, accomplish; fulfil; bring about; end",ἅπας(1); Ἀχαιός(1); Ἀλκίνοος(1),ὅρκος(6); ἔργον(3); πᾶς(3)
ἐπεύχομαι,29,-1,(unassigned),18,pray; make a vow to; give thanks to; pray to,Εὔμαιος(2); Ἀχιλλεύς(2); δῖος(1); Ὀδυσσεύς(1),θεός(6); Ζεύς(3); ᾍδης(2); Περσεφόνεια(2)
καταλείπω,29,19,"return, sleep, assemble collect, company",21,"leave behind; leave behind one; to be left, remain behind; left behind",Ὀδυσσεύς(3),οἷος(2)
δαίω,29,15,"eat, devour, kindle, chase",12,"dunō óti; light up, kindle; she made; burn",Ἀθήνη(2); ὄσσε(2); μάχη(2); Τροία(2); ἦτορ(1),πῦρ(4); κρέας(2); ξύλον(2); Ὀδυσσεύς(1); μνηστήρ(1)
ὁρμαίνω,29,-1,(unassigned),21,"turn over; revolve anxiously in the mind, debate, ponder; ponder over, meditate; think, muse",κῆρ(3); υἱός(1); γέρων(1),θάνατος(2); πόλεμος(2); πολύς(2)
παρατίθημι,28,20,"sprinkle, roast, broil, let flow",22,"place beside; set before, serve up; the serving-men; meats set before one",ταμία(7); δαιτρός(2); συβώτης(1); ἀμφίπολος(1),σῖτος(7); δαίς1(4); πίναξ(3)
ἅλλομαι,28,5,"leap, sal, assemble, went",7,"sal; sal-io; spring, leap; leap upon",Ἕκτωρ(2); Πηλείδης(2); Ἀτρείδης(1); Πάτροκλος(1),
πλέω,28,-1,(unassigned),17,"sail, go by sea; sail; be at sea; swim, float",Ἀτρείδης(1); υἱός(1); τεῦχος(1),κέλευθος(2)
καθέζομαι,28,6,"fail, tears, meal, flow",7,"sit down, take oneʼs seat; preside; taking their seats; sit down in, occupy",Ὀδυσσεύς(2); πᾶς(1); υἱός(1); Πηνελόπεια(1),
ἄγαμαι,27,27,"speak, address, hear, exchange",23,wonder; admire; for; wonder at,Ποσειδεών(2); πᾶς(1); μνηστήρ(1); θυμός(1),μῦθος(6); ἔργον(2)
ἀγγέλλω,27,-1,(unassigned),21,"bear a message; may bring; word; announce, report",ἄγγελος(1); κῆρυξ(1),γυνή(4); ποιμήν(2); Ἀχιλλεύς(2); φάος(1)
ἀγοράομαι,27,22,"succour, face, hide cover, assembly",20,"meet in assembly, sit in debate; speak in the assembly, harangue; speak, utter; speak, talk with",θεός(1),
ἐπίσταμαι,27,14,"arm, stay, strip, angry",18,know; be able; capable; can,Ἀχιλλεύς(2); θεράπων(1); Ἀχαιός(1),ἔργον(3); πεδίον(2); φόρμιγξ(1); ἀοιδή(1)
βοάω,27,2,"roar, old, haste, shout",5,"cry aloud, shout; men ready to shout; roar, howl; resound, echo",κῦμα(1); ἠιών(1); Τρώς(1),
ἄγνυμι,27,41,"shake, join, tremble, cause",9,"break, shiver; broke; crashed through; to be broken, shivered",αὐχήν(2); κῦμα(1); θύελλα(1); ῥόπαλον(1),αὐχήν(4); ἅρμα(4); ἀστράγαλος(1); ναῦς(1)
δοκέω,27,-1,(unassigned),16,"expect; think, suppose, imagine; thought; methought",θυμός(1); ξένος(1); ἵππος(1); ἀνήρ(1),θυμός(1)
ἀλάομαι,27,-1,(unassigned),2,"wander, roam; to be outcast, banished; wander over; wander away from, miss",ὅ(1),ὅσος(1)
ἀλύσκω,27,24,"shut close, beckon, opened, sing",23,"flee from, shun; escape; he escaped; wander restlessly",Τερπιάδης(1); ἀοιδός(1); Φήμιος(1),κήρ(11); θάνατος(6); ὄλεθρος(2); ἦμαρ(1); ἑταῖρος(1)
καταβαίνω,27,28,"straight, wash hands, thrust away, bear",9,come down from; die; came down from; came down,ἄριστος(1); κῦμα(1),ὑπερῷον(2); κλῖμαξ(1); ἐφόλκαιον(1); θάλαμος(1); πόλις(1)
ἐρίζω,27,-1,(unassigned),23,"strive, wrangle, quarrel; contend; sophistical disputations; discord",βροτός(3); ἀνήρ(2); ξένος(1),βασιλεύς(3); ἀλλήλων(2); ἀθάνατος(2)
στρέφω,26,30,"drive, sway, run, bring brought",17,turn about; aside; turn; wheel,θεός(1); κάπριος(1); λέων(1),ἵππος(5); οὖρος(1); ἄωτον(1)
