lemma,gloss,best_category,best_pos,best_neg,assigned,entry_len,pos_kinship_family,pos_marriage,pos_friendship_affection,pos_hostility_enmity,pos_hospitality_xenia,pos_erotic_pederasty,pos_rank_kingship_rule,pos_military_rank,pos_servitude_slavery,pos_messenger_herald_envoy,pos_civic_community
ἁμαξ-εία,loading of wagons; haulage,messenger_herald_envoy,0.394,0.158,False,99,0.169,0.137,0.198,0.112,0.144,0.162,0.11,0.156,0.221,0.394,0.113
ἁμαξ-εύς,wagoner; draught,messenger_herald_envoy,0.243,0.212,False,112,0.164,0.106,0.194,0.12,0.17,0.157,0.108,0.222,0.23,0.243,0.197
ἁμαξ-εύω,traverse with a wagon; to be traversed by wagon-roads; drag on a weary; to be a wagoner; travel in a wagon; live in wagons,friendship_affection,0.323,0.271,False,323,0.166,0.194,0.323,0.21,0.217,0.22,0.22,0.224,0.301,0.304,0.276
ἁμαξ-ηδόνια,axlepins,messenger_herald_envoy,0.272,0.159,False,59,0.135,0.124,0.076,0.071,-0.036,0.059,0.152,0.054,0.084,0.272,0.069
ἁμαξ-ηλατέω,drive a wagon,messenger_herald_envoy,0.239,0.214,False,60,0.113,0.171,0.21,0.103,0.102,0.133,0.139,0.137,0.122,0.239,0.149
ἁμαξ-ηλάτης,wagoner,messenger_herald_envoy,0.243,0.175,False,96,0.116,0.106,0.194,0.12,0.137,0.157,0.108,0.169,0.23,0.243,0.197
ἁμαξ-ήλᾰτος,traversed by wagons:; carriage-road,messenger_herald_envoy,0.344,0.245,False,128,0.115,0.165,0.207,0.138,0.127,0.156,0.19,0.216,0.208,0.344,0.212
ἁμαξ-ήποδες,axle-blocks; c.,messenger_herald_envoy,0.25,0.225,False,103,0.143,0.124,0.138,0.143,0.15,0.144,0.173,0.249,0.11,0.25,0.192
ἁμαξ-ήρης,of; on a carriage; high,messenger_herald_envoy,0.374,0.22,False,129,0.148,0.209,0.208,0.154,0.142,0.19,0.2,0.197,0.218,0.374,0.166
ἁμαξ-ιαῖος,large enough to load a wagon; in cart-loads,messenger_herald_envoy,0.316,0.343,False,253,0.127,0.099,0.162,0.019,0.104,0.085,0.095,0.079,0.208,0.316,0.095
ἁμαξ-ικός,for wagon,messenger_herald_envoy,0.268,0.243,False,58,0.138,0.138,0.22,0.089,0.15,0.139,0.097,0.155,0.103,0.268,0.101
ἁμαξ-ίς,little wagon; go-cart; cake,friendship_affection,0.233,0.269,False,165,0.174,0.208,0.233,0.207,0.213,0.189,0.141,0.141,0.118,0.203,0.161
ἁμαξ-ίτης,of; for wagon,messenger_herald_envoy,0.268,0.243,False,86,0.148,0.138,0.22,0.132,0.15,0.166,0.142,0.187,0.116,0.268,0.123
ἁμαξ-ῐτός,"ibo; traversed by wagons; carriage-road, high-road, highway; ways",messenger_herald_envoy,0.33,0.255,False,436,0.132,0.209,0.213,0.15,0.164,0.183,0.206,0.189,0.188,0.33,0.186
ἁμαξό-βιος,living in wagons,messenger_herald_envoy,0.315,0.221,False,85,0.207,0.168,0.215,0.152,0.167,0.137,0.186,0.19,0.199,0.315,0.26
ἁμαξο-ειδῶς,like a wagon,friendship_affection,0.29,0.28,False,57,0.163,0.126,0.29,0.153,0.106,0.15,0.137,0.164,0.113,0.262,0.14
ἁμάξοικος,dwelling in a wagon,messenger_herald_envoy,0.259,0.226,False,67,0.204,0.188,0.257,0.107,0.217,0.113,0.103,0.152,0.165,0.259,0.23
ἁμαξο-κῠλιστής,down-roller; destroyer) of wagons:,messenger_herald_envoy,0.386,0.235,False,136,0.134,0.126,0.202,0.216,0.106,0.143,0.27,0.304,0.213,0.386,0.137
ἁμαξο-πηγέω,build wagons,messenger_herald_envoy,0.315,0.195,False,66,0.14,0.09,0.177,0.086,0.049,0.113,0.133,0.157,0.159,0.315,0.201
ἁμαξο-πηγία,wagon-building,messenger_herald_envoy,0.227,0.246,False,61,0.151,0.089,0.219,0.068,0.176,0.138,0.049,0.179,0.118,0.227,0.226
ἁμαξο-πηγός,"cartwright, PLond.ined.",civic_community,0.171,0.09,False,85,0.14,0.077,0.126,0.125,0.131,0.091,0.054,0.138,0.149,0.121,0.171
ἁμαξο-πληθής,large enough to fill a wagon,messenger_herald_envoy,0.174,0.244,False,134,0.053,0.076,0.166,0.026,0.102,0.034,0.076,0.034,0.08,0.174,0.126
ἁμαξο-τροχιά,track of a wain; car,messenger_herald_envoy,0.229,0.269,False,79,0.213,0.159,0.188,0.137,0.114,0.153,0.078,0.16,0.042,0.229,0.143
ἁμαξ-ουργός,cartwrights’,kinship_family,0.252,0.126,False,102,0.252,0.112,0.063,0.159,0.201,0.088,0.105,0.172,0.168,0.15,0.23
ἁμαξοφόρητος,carried in wagons,messenger_herald_envoy,0.488,0.171,False,88,0.151,0.19,0.209,0.106,0.074,0.162,0.206,0.261,0.24,0.488,0.162
ἀμάρα,"trench, conduit, channel; hollow",friendship_affection,0.216,0.298,False,305,0.189,0.14,0.216,0.195,0.145,0.203,0.121,0.168,0.086,0.196,0.17
ἀμᾱράκινος,made of amaracus; like amaracus,hostility_enmity,0.158,0.262,False,156,0.103,0.096,0.14,0.158,-0.032,0.098,0.127,0.09,0.072,0.085,0.041
ἀμάρᾰκον,"marjoram, Origanum Majorana",erotic_pederasty,0.303,0.253,False,275,0.145,0.3,0.121,0.124,0.097,0.303,0.106,0.065,0.122,0.078,0.147
ἀμᾰράντινος,"of amaranth; unfading; unfading, imperishable",hostility_enmity,0.234,0.24,False,158,0.156,0.189,0.227,0.234,0.143,0.172,0.205,0.153,0.159,0.162,0.089
ἀμάραντος,"unfading; amarantus), never-fading flower",friendship_affection,0.227,0.405,False,447,0.143,0.131,0.227,0.207,0.143,0.156,0.065,0.117,0.12,0.162,0.064
ἀμάρ-ευμα,foul water carried off by drain,erotic_pederasty,0.088,0.131,False,93,0.02,-0.041,0.006,-0.042,0.022,0.088,-0.005,0.03,0.079,-0.076,-0.02
ἀμαρ-εύω,flow off,erotic_pederasty,0.188,0.229,False,57,0.142,0.14,0.146,0.14,0.142,0.188,0.079,0.142,0.077,0.172,0.098
ἀμαρήιος,from a conduit,messenger_herald_envoy,0.177,0.154,False,65,0.085,0.09,0.125,0.037,0.056,0.063,-0.011,0.07,0.115,0.177,0.07
ἀμαρησκαπτήρ,digger of trenches,military_rank,0.31,0.231,False,66,0.138,0.044,0.107,0.113,0.045,0.098,0.08,0.31,0.288,0.257,0.069
ἁμαρθρῖτις,gout in all limbs at once,military_rank,0.132,0.265,False,79,0.101,0.123,0.009,0.079,0.08,0.034,0.025,0.132,0.101,-0.002,-0.027
ἁμαρτάνω,"Acut. (Sp.); miss the mark; miss; fail of oneʼs purpose, go wrong; failed of good; mistake; fail of having, be deprived of; that I should lose; that I should ask; in vain; fail; fail to do, neglect; do wrong, err, sin; erred; do wrong in; sin; are frustrate; wrong, mistaken; mistaken",hostility_enmity,0.279,0.287,False,3382,0.273,0.273,0.235,0.279,0.174,0.235,0.216,0.195,0.224,0.12,0.158
ἁμαρτάς,error; sin,hostility_enmity,0.265,0.287,False,272,0.11,0.263,0.211,0.265,0.149,0.235,0.145,0.144,0.166,0.079,0.081
ἁμαρτέω,"attend, accompany",hospitality_xenia,0.326,0.186,False,108,0.091,0.12,0.17,0.048,0.326,0.102,0.04,0.184,0.143,0.282,0.098
ἁμαρτῆ,"together, at same time, at once",erotic_pederasty,0.411,0.237,False,172,0.379,0.357,0.302,0.205,0.166,0.411,0.117,0.244,0.147,0.198,0.123
ἁμάρτ-ημα,"failure, fault; sinful action",hostility_enmity,0.266,0.313,False,388,0.184,0.185,0.2,0.266,0.114,0.199,0.183,0.17,0.214,0.134,0.103
ἁμάρτ-ημον,sinful,hostility_enmity,0.218,0.217,False,89,0.074,0.196,0.212,0.218,0.144,0.204,0.079,0.09,0.129,0.082,-0.004
ἁμαρτ-ητικός,prone to err,hostility_enmity,0.164,0.217,False,98,0.076,0.071,0.104,0.164,0.134,0.136,0.036,0.053,0.089,0.037,0.02
ἁμαρτ-ία,"a failure, fault; error; guilt, sin",hostility_enmity,0.36,0.321,False,299,0.206,0.255,0.285,0.36,0.172,0.237,0.193,0.2,0.231,0.091,0.101
ἁμαρτί-γαμος,failing of marriage,marriage,0.415,0.192,True,67,0.274,0.415,0.195,0.201,0.056,0.355,0.067,-0.007,0.124,-0.059,-0.008
ἁμαρτί-νοος,"erring in mind, distraught",hostility_enmity,0.238,0.3,False,117,0.112,0.121,0.185,0.238,0.13,0.21,0.031,0.115,0.099,0.083,0.035
ἁμαρτο-επής,"erring in words, speaking at random; that makes men talk at random",marriage,0.224,0.248,False,168,0.101,0.224,0.111,0.127,0.206,0.106,0.052,0.103,0.047,0.085,0.052
ἁμαρτο-λόγος,speaking faultily,hostility_enmity,0.239,0.223,False,60,0.1,0.101,0.097,0.239,0.06,0.053,0.138,0.053,0.09,0.089,0.089
ἀμαρτ-ύρητος,needing no witness; without witnesses,hospitality_xenia,0.262,0.183,False,145,0.222,0.161,0.211,0.175,0.262,0.15,0.081,0.152,0.178,0.159,0.172
ἀμάρτ-ῠρος,"without witness, unattested; unsupported by evidence",hospitality_xenia,0.282,0.168,False,291,0.187,0.181,0.229,0.181,0.282,0.158,0.072,0.172,0.242,0.27,0.176
ἁμαρτωλ-ός,erroneous; erring; of bad character; sinning against; sinner,hostility_enmity,0.349,0.289,False,375,0.139,0.225,0.235,0.349,0.165,0.248,0.255,0.162,0.269,0.133,0.16
ἀμᾰρυγή,"sparkling, twinkling, glancing",friendship_affection,0.252,0.258,False,299,0.114,0.119,0.252,0.171,0.242,0.215,0.087,0.072,0.023,0.12,0.062
ἀμάρυγμα,"sparkle, twinkle; flashing, radiant glance; the flashing steps; quivering",friendship_affection,0.251,0.26,False,497,0.155,0.164,0.251,0.24,0.199,0.229,0.178,0.149,0.15,0.195,0.117
ἀμᾰρύσσω,"sparkle, twinkle, glance; darting; glances; shoot forth, dart; dazzle",friendship_affection,0.297,0.298,False,494,0.183,0.199,0.297,0.239,0.263,0.25,0.183,0.242,0.136,0.22,0.104
ἀμάσητος,unchewed,marriage,0.218,0.193,False,111,0.071,0.218,0.173,0.204,0.144,0.157,0.057,0.083,0.124,0.164,0.095
ἀμαστίγωτος,unscourged,erotic_pederasty,0.159,0.187,False,74,0.051,0.108,0.098,0.145,0.067,0.159,0.06,0.146,0.123,0.119,0.075
ἀμάστρευτος,unexamined,hostility_enmity,0.251,0.212,False,91,0.222,0.122,0.15,0.251,0.155,0.154,0.151,0.132,0.205,0.155,0.223
ἁμάσῡκον,fruit-tree flowering at the same time as the fig,messenger_herald_envoy,0.115,0.412,False,117,0.047,0.105,0.042,0.026,-0.011,0.114,-0.027,0.032,-0.019,0.115,-0.095
ἁμα-τροχάω,"run together, run along with",military_rank,0.232,0.289,False,136,0.225,0.187,0.205,0.175,0.054,0.209,0.1,0.232,0.146,0.109,0.122
ἁμα-τροχιά,driving side by side; common motion; track of wheels,hostility_enmity,0.208,0.227,False,240,0.206,0.199,0.204,0.208,0.127,0.189,0.101,0.14,0.101,0.158,0.168
ἀμαυρ-ία,"caligo, Gloss.",marriage,0.2,0.214,False,65,0.14,0.2,0.09,0.162,0.042,0.167,0.18,0.157,0.092,0.179,0.125
ἀμαυρ-όβῐος,living in darkness,servitude_slavery,0.26,0.298,False,69,0.202,0.148,0.192,0.233,0.202,0.164,0.182,0.159,0.26,0.018,0.164
ἀμαυρ-ός,"dark; hardly seen, dim, faint; shadowy; faint; obscure, glimmering; having no light; blind, sightless; dimly; Acut. (Sp.); dim, faint; dim, faint, uncertain; of obscure kind; less conspicuous; obscure, mean, unknown; obscurely; gloomy, troubled; enfeebling; baffling, obscure",hostility_enmity,0.42,0.488,False,1436,0.184,0.173,0.329,0.42,0.225,0.214,0.268,0.173,0.197,0.282,0.184
ἀμαυρ-ότης,dimness; obscurity,rank_kingship_rule,0.279,0.237,False,131,0.22,0.143,0.181,0.276,0.215,0.193,0.279,0.132,0.144,0.14,0.166
ἀμαυρ-οφᾰνής,dimly gleaming,friendship_affection,0.272,0.313,False,81,0.133,0.012,0.272,0.091,0.16,0.189,0.122,0.154,0.125,0.143,0.085
ἀμαυρ-όω,"make dim, faint; obscure; become dark; dim; perished utterly; render invisible, PMag. Berol.; blind; deface; weaken, impair; Aër.; to be dazzled",friendship_affection,0.356,0.339,False,1517,0.177,0.21,0.356,0.312,0.243,0.243,0.267,0.23,0.24,0.178,0.174
ἀμαύρ-ωμα,obscuration; dimness,hostility_enmity,0.23,0.275,False,124,0.155,0.088,0.169,0.23,0.215,0.193,0.219,0.132,0.132,0.128,0.166
ἀμαύρ-ωσις,"darkening; becoming dull; complete hindrance to sight without any visible cause; dulling; spell which renders invisible; lowering, detraction",friendship_affection,0.27,0.291,False,504,0.063,0.12,0.27,0.26,0.231,0.147,0.172,0.182,0.128,0.156,0.112
ἀμάχαιρος,without knife,messenger_herald_envoy,0.192,0.299,False,54,0.098,0.173,0.137,0.1,0.046,0.148,0.075,0.164,0.167,0.192,0.076
ἀμᾰχ-εί,"without stroke of sword, without resistance; without question, undoubtedly",military_rank,0.239,0.285,False,211,0.161,0.122,0.079,0.228,0.056,0.216,0.221,0.239,0.168,0.174,0.139
ἀμᾰχ-ητί,"without battle, without stroke of sword",military_rank,0.373,0.409,False,152,0.105,0.212,0.117,0.235,0.057,0.164,0.275,0.373,0.178,0.221,0.037
ἀμᾰχ-ητος,"not to be foughtwith, unconquerable; not having fought, not having been in battle; without fighting",hostility_enmity,0.397,0.309,False,218,0.117,0.164,0.206,0.397,0.136,0.139,0.226,0.338,0.249,0.124,0.126
ἄμᾰχ-ος,"without battle:; with whom no one fights, unconquerable; impregnable; irresistible; impossible; irresistibly; incontestably; not having fought, taking no part in the battle; without; fighting; non-combatants; gained without fighting; disinclined to fight, not contentious; Epigr Gr.",hostility_enmity,0.432,0.4,False,1217,0.267,0.202,0.357,0.432,0.291,0.317,0.285,0.43,0.283,0.234,0.274
ἀμάω,reap corn; reaped; cut; mow down,friendship_affection,0.231,0.276,False,1444,0.138,0.142,0.231,0.213,0.104,0.127,0.086,0.21,0.173,0.163,0.133
ἀμάω,"draw, gather; pouring; sémti",civic_community,0.277,0.253,False,444,0.194,0.177,0.183,0.165,0.162,0.178,0.098,0.215,0.139,0.206,0.277
ἀμβαδέως,thoughtlessly,friendship_affection,0.239,0.192,False,46,0.103,0.152,0.239,0.212,0.12,0.163,0.104,0.143,0.13,0.124,0.1
ἄμβαρ,ambergris,erotic_pederasty,0.154,0.174,False,57,0.132,0.091,0.11,0.089,0.107,0.154,0.15,0.065,0.073,0.124,0.122
ἄμβη,raised edge; protuberance; rim,kinship_family,0.207,0.193,False,147,0.207,0.165,0.137,0.18,0.147,0.192,0.112,0.1,0.153,0.13,0.135
ἄμβιξ,spouted cup; cap of still; alembic,hostility_enmity,0.168,0.233,False,191,0.163,0.138,0.116,0.168,0.166,0.168,0.117,0.15,0.111,0.144,0.125
ἀμβλήδην,with sudden bursts,erotic_pederasty,0.13,0.161,False,99,0.059,0.082,0.057,0.089,0.096,0.13,0.073,0.061,-0.014,0.069,0.075
ἀμβλίσκω,cause to miscarry; bring on miscarriage; miscarry; to be abortive; they go ‘blind’,marriage,0.3,0.241,False,854,0.265,0.3,0.19,0.242,0.176,0.267,0.146,0.184,0.189,0.078,0.084
ἀμβλῠ-γώνιος,obtuse-angled; obtuse angle,hostility_enmity,0.215,0.251,False,162,0.131,0.075,0.066,0.215,0.061,0.132,0.102,0.109,0.102,0.162,0.098
ἀμβλῠ-δερκής,dull of sight,hostility_enmity,0.216,0.29,False,73,0.069,0.122,0.178,0.216,0.168,0.207,0.124,0.153,0.062,0.074,0.034
ἀμβλῠ-ηκοΐα,hardness of hearing,hostility_enmity,0.096,0.378,False,76,0.036,0.012,0.096,0.096,0.04,0.027,0.065,-0.018,-0.009,-0.006,0.042
ἄμβλ-υνσις,"blunting, dulling",hostility_enmity,0.224,0.336,False,83,0.024,0.136,0.217,0.224,0.112,0.175,0.113,0.207,0.128,0.189,0.117
ἀμβλ-υντέον,"one must deaden, counteract",military_rank,0.19,0.224,False,71,0.064,0.097,0.121,0.143,0.06,0.127,0.069,0.19,0.175,0.121,0.103
ἀμβλ-υντήρ,causing dimness of sight; de herb.,friendship_affection,0.15,0.376,False,88,0.079,0.097,0.15,0.071,0.1,0.147,0.041,0.089,0.009,0.105,0.141
ἀμβλ-υντικός,apt to dull,friendship_affection,0.27,0.315,False,117,0.077,0.093,0.27,0.156,0.221,0.12,0.056,0.157,0.079,0.111,0.108
ἀμβλ-ύνω,"blunt, dull, take the edge off; make dim, dull; take away strength of; become blunt; dull, lose edge; become obtuse; lose its edge; force; to be disheartened",military_rank,0.354,0.365,False,1241,0.178,0.23,0.31,0.273,0.253,0.219,0.215,0.354,0.301,0.216,0.162
ἀμβλυό-εις,"dull, dark",hostility_enmity,0.267,0.376,False,63,0.115,0.119,0.22,0.267,0.221,0.142,0.202,0.206,0.184,0.094,0.126
ἀμβλυό-χρους,faint,hospitality_xenia,0.126,0.178,False,87,0.1,0.062,0.097,0.025,0.126,0.111,0.032,0.102,0.045,0.072,0.097
ἀμβλ-ύς,"blunt, dulled, with edge; point taken off; obtuse; adjacent to such angle; Geom.* 12.35, etc. `A..2` of light,; , ὄρθρος Ion ap.Phot.p.89R. `A..3` metaph.,; , Id. 2.65. Adv. ἀμβλέως Archig. ap. Orib. 8.2: Comp., v. supr. `A.2.2.b`; , τὠμβλὺ τῆς ζόης Herod. 3.52. `A.2.2.c` of persons, in A. *Eu.* 238, of Orestes purified,; of guilt: mostly,; or; in a thing, Plu. *Cat.Ma.* 24, *Alc.* 30, D.S. 11.43 ( Comp.): abs., Th. 2.40. Adv., Comp. -υτέρως J. *AJ* 19.2.5. `A.II` Act.,",hostility_enmity,0.401,0.454,False,1246,0.239,0.251,0.364,0.401,0.21,0.277,0.221,0.211,0.245,0.209,0.226
ἀμβλ-ύτης,bluntness; dullness; sluggishness; fail to germinate; obtuseness,hostility_enmity,0.353,0.434,False,307,0.172,0.138,0.295,0.353,0.228,0.234,0.199,0.173,0.192,0.204,0.172
ἀμβλυ-χειλής,withrounded rim,marriage,0.176,0.128,False,90,0.084,0.176,0.062,0.051,0.093,0.085,-0.041,0.019,0.031,0.073,0.037
ἀμβλυ-ωγμός,dull; dim sight,hostility_enmity,0.252,0.315,False,78,0.078,0.087,0.243,0.252,0.186,0.208,0.164,0.177,0.113,0.115,0.128
ἀμβλυ-ωπέω,to be dim-sighted,erotic_pederasty,0.17,0.251,False,165,0.024,0.087,0.092,0.137,0.155,0.17,0.151,0.116,0.001,0.038,0.117
ἀμβλυ-ωπής,weakening sight,messenger_herald_envoy,0.15,0.101,False,85,0.034,-0.001,0.038,0.123,-0.051,0.115,-0.008,0.074,-0.033,0.15,-0.108
ἀμβλυ-ωπία,dim-sightedness,erotic_pederasty,0.152,0.213,False,89,0.049,0.069,0.117,0.15,0.137,0.152,0.141,0.107,-0.044,0.033,0.079
ἀμβλυ-ωπός,dim-sighted; dim,erotic_pederasty,0.243,0.229,False,207,0.138,0.098,0.155,0.125,0.218,0.243,0.195,0.109,0.018,0.063,0.174
ἀμβλυ-ώσσω,"to be short-sighted, have weak sight; to be dazzled",friendship_affection,0.356,0.299,False,312,0.131,0.21,0.356,0.236,0.243,0.198,0.154,0.11,0.108,0.178,0.096
ἀμβλ-ωθρίδιον,abortive child; drug to cause abortion; causing abortion,kinship_family,0.404,0.214,False,295,0.404,0.209,0.096,0.241,0.034,0.182,0.148,0.076,0.174,0.035,0.072
ἄμβλ-ωμα,abortion,kinship_family,0.355,0.233,False,87,0.355,0.308,0.201,0.228,0.093,0.205,0.192,0.133,0.196,0.081,0.126
ἀμβλ-ωπής,abortive,marriage,0.233,0.18,False,83,0.21,0.233,0.124,0.152,0.049,0.175,0.115,0.123,0.162,0.019,0.047
ἀμβλ-ωπός,"bedimmed, dark",servitude_slavery,0.225,0.209,False,104,0.122,0.172,0.136,0.17,0.153,0.187,0.15,0.161,0.225,0.061,0.029
ἀμβλ-ώσιμος,belonging to abortion,kinship_family,0.464,0.317,False,60,0.464,0.295,0.219,0.272,0.171,0.252,0.249,0.172,0.229,0.106,0.296
ἄμβλ-ωσις,abortion; abortion of,kinship_family,0.356,0.255,False,243,0.356,0.308,0.201,0.228,0.093,0.236,0.194,0.165,0.22,0.081,0.126
ἀμβλ-ωτήριον,instrument for causing abortion,marriage,0.189,0.416,False,94,0.177,0.189,0.041,0.078,0.039,0.115,0.012,0.069,0.054,0.081,0.043
ἀμβλ-ωτικός,producing abortion,kinship_family,0.27,0.133,False,74,0.27,0.219,0.038,0.143,0.026,0.183,0.125,0.105,0.169,0.034,0.084
ἀμβοειδής,like an; protuberant,military_rank,0.216,0.256,False,84,0.158,0.075,0.184,0.132,0.091,0.145,0.122,0.216,0.105,0.182,0.139
ἄμβολα,middle of shipʼsyard,messenger_herald_envoy,0.322,0.23,False,57,0.118,0.156,0.186,0.172,0.175,0.203,0.169,0.168,0.202,0.322,0.038
ἀμβολ-άδην,bubbling up; by jets; capriciously; like an; prelude,friendship_affection,0.247,0.256,False,286,0.186,0.208,0.247,0.183,0.192,0.216,0.239,0.216,0.182,0.218,0.139
ἀμβολ-αδίς,in turns; with uplifted arms,marriage,0.208,0.274,False,123,0.116,0.208,0.178,0.141,0.13,0.129,0.148,0.15,0.204,0.17,0.111
ἀμβολ-άς,thrown up,kinship_family,0.131,0.174,False,84,0.131,0.121,0.113,0.098,0.131,0.129,0.087,0.096,0.086,0.099,0.035
ἀμβολι-εργός,"putting off work, dilatory; in",servitude_slavery,0.333,0.318,False,165,0.108,0.228,0.204,0.182,0.158,0.191,0.13,0.161,0.333,0.146,0.149
ἀμβολί-η,delay,friendship_affection,0.146,0.143,False,99,0.107,0.087,0.146,0.028,0.143,0.087,0.106,0.102,0.061,0.095,0.125
ἀμβόλι-μος,surging up; adjourned,marriage,0.231,0.188,False,139,0.097,0.231,0.152,0.09,0.181,0.155,0.113,0.175,0.147,0.128,0.117
Ἀμβολογήρα,"she that puts off old age, youth-prolonging",kinship_family,0.26,0.188,False,145,0.26,0.14,0.221,0.095,0.117,0.174,0.15,0.034,0.144,0.004,0.103
Ἀμβρακίδες,Ambracian womenʼs shoes,erotic_pederasty,0.3,0.28,False,64,0.163,0.188,0.173,0.185,0.144,0.3,0.212,0.12,0.187,0.062,0.109
ἀμβροσί-α,"immortality; elixir of life; mixture of water, oil, and various fruits; ambrose, Ambrosia maritima; a festival",hospitality_xenia,0.377,0.477,False,1059,0.26,0.242,0.205,0.228,0.377,0.216,0.248,0.179,0.204,0.245,0.227
ἀμβροσί-οδμος,smelling of ambrosia,erotic_pederasty,0.273,0.288,False,65,0.112,0.029,0.227,0.188,0.136,0.273,0.035,0.073,0.075,0.136,0.036
ἀμβρόσι-ος,"immortal, divine; belonging to gods; divine; divinely excellent; beautiful",civic_community,0.378,0.375,False,616,0.354,0.28,0.353,0.296,0.295,0.232,0.302,0.255,0.272,0.224,0.378
ἀμβροσι-ώδης,"ambrosial, fragrant",friendship_affection,0.252,0.317,False,82,0.142,0.136,0.252,0.118,0.239,0.221,0.086,0.091,0.127,0.175,0.112
ἀμβροτόπωλος,with immortal steeds,servitude_slavery,0.202,0.215,False,72,0.157,0.155,0.098,0.083,0.032,0.149,0.192,0.16,0.202,0.146,0.012
ἄμβροτος,"immortal, divine; belonging to the gods; five",civic_community,0.361,0.397,False,441,0.354,0.292,0.352,0.291,0.305,0.218,0.313,0.264,0.29,0.234,0.361
ἄμβρυττοι,shell-fish,military_rank,0.16,0.324,False,99,0.073,0.107,0.1,0.134,0.092,0.101,0.05,0.16,0.046,0.155,0.047
ἄμβων,"crest; rim; edge; rim of jointsocket; steps, rungs; pulpit",messenger_herald_envoy,0.238,0.286,False,624,0.223,0.199,0.182,0.187,0.165,0.177,0.161,0.161,0.209,0.238,0.165
ἀμέγαρτος,"unenviable:; sad, melancholy; undesirable; unhappy, miserable; wretched",hostility_enmity,0.388,0.37,False,547,0.202,0.223,0.335,0.388,0.196,0.283,0.201,0.18,0.301,0.149,0.183
ἀμεγέθης,"without magnitude, unextended; non-spatially; non-quantitatively; lacking in size; without dignity",friendship_affection,0.301,0.366,False,349,0.222,0.264,0.301,0.253,0.175,0.218,0.204,0.117,0.281,0.139,0.156
ἀμέθεκτος,imparticipable,friendship_affection,0.296,0.273,False,196,0.124,0.232,0.296,0.206,0.251,0.186,0.138,0.112,0.188,0.221,0.221
ἀμέθελκτος,free from distraction,friendship_affection,0.18,0.237,False,90,0.052,0.123,0.18,0.167,0.159,0.067,0.091,0.052,0.125,0.028,0.151
ἀμεθεξία,non-participation,civic_community,0.41,0.204,False,89,0.157,0.167,0.155,0.113,0.286,0.046,0.148,0.092,0.183,0.203,0.41
ἀμεθόδευτος,"not to be cajoled, led astray; unscientific",hostility_enmity,0.302,0.287,False,147,0.116,0.189,0.245,0.302,0.165,0.23,0.193,0.189,0.206,0.128,0.148
ἀμέθοδος,not in logical; syllogistic) form; without plan; system; non-ʼmethodic’,military_rank,0.215,0.319,False,379,0.207,0.158,0.125,0.16,0.132,0.106,0.173,0.215,0.19,0.214,0.206
ἀμεθύστινος,of amethyst,friendship_affection,0.19,0.256,False,66,0.083,0.13,0.19,0.157,0.07,0.09,0.128,0.044,0.093,0.1,0.086
ἀμέθυστος,"not drunken, without drunkenness; not intoxicating; remedy against drunkenness; herb; amethyst; grape",hostility_enmity,0.256,0.59,False,664,0.104,0.188,0.219,0.256,0.228,0.185,0.155,0.141,0.125,0.117,0.155
ἀμείβω,"change, exchange; changing; give in exchange; take in exchange; redeem; change; pass, cross; pass out of; leave; pass into, enter; change, alter; make; pass on, hand on from one to another; shift, dislodge; repay, return; the interchangers; rafters that meet and cross each other; succeeds; change one with another, do in turn; alternately; in turn; ploughed and fallow in turn; alternating, crosswise; comes; vary; answer one another; answer; reply to; gave; in reply; repay, requite; return good for good;; bad for good; bad for bad; purchase; get in exchange; pass; out; in; passes through; exchange; surpass, outdo; convoys, accompanies",messenger_herald_envoy,0.445,0.269,False,5771,0.256,0.246,0.312,0.24,0.295,0.291,0.234,0.329,0.242,0.445,0.187
ἀμειδ-ής,"not smiling, gloomy",hostility_enmity,0.384,0.352,False,92,0.113,0.132,0.284,0.384,0.224,0.122,0.208,0.108,0.106,0.237,0.136
ἀμείλ-ικτος,"unsoftened, harsh, cruel; pitiless",hostility_enmity,0.45,0.416,False,416,0.163,0.149,0.327,0.45,0.156,0.225,0.272,0.183,0.333,0.174,0.115
ἀμείλ-ῐχος,"implacable, relentless; unmitigated",hostility_enmity,0.282,0.357,False,310,0.099,0.148,0.213,0.282,0.089,0.25,0.191,0.14,0.25,0.139,0.053
ἀμείνων,"better:; stouter, stronger, braver; the better sort; ʼtis better; it is good; better; better part",hostility_enmity,0.298,0.319,False,1256,0.15,0.124,0.255,0.298,0.139,0.168,0.245,0.283,0.269,0.173,0.176
ἀμειξία,interruption of communications,friendship_affection,0.21,0.168,False,110,0.056,0.056,0.21,0.109,0.117,0.08,0.0,0.103,-0.012,0.136,0.098
ἀμειπτικός,of; for exchange; business of exchange; in requital,messenger_herald_envoy,0.285,0.332,False,199,0.217,0.189,0.262,0.161,0.278,0.181,0.167,0.188,0.183,0.285,0.15
ἀμείρω,bereave,hostility_enmity,0.238,0.209,False,66,0.084,0.165,0.201,0.238,0.128,0.1,0.097,0.069,0.086,0.12,0.058
ἀμειψι-ρρυσμέω,change form,messenger_herald_envoy,0.094,0.19,False,67,0.007,0.017,0.014,0.005,0.015,-0.035,0.036,0.041,0.007,0.094,0.035
ἀμειψι-ρρυσμία,change of form,messenger_herald_envoy,0.156,0.239,False,96,0.057,0.056,0.048,0.02,0.044,-0.006,0.045,0.076,0.036,0.156,0.058
