lemma,urn,category,method,pos_score,neg_score,margin,entry_len,gloss
ἀντεράω,urn:cite2:hmt:lsj.chicago_md:n9717,hostility_enmity,seed,0.522,0.5,0.022,356,love in return; rival in love; rival; in love for..; jealous love
ἐναντίος,urn:cite2:hmt:lsj.chicago_md:n34855,hostility_enmity,seed,0.519,0.412,0.107,5099,"opposite; on the opposite side, opposite; fronting, face to face; before; things open to; sight; in the opposite direction; to meet; in diametrical aspect; opposing, facing; oneʼs adversaries; the enemy; opposed to; the opposite party; presenting obstacles, hindering; opponent; opposite, contrary, reverse; very reverse; the contrary, Lg.; opposites; contraries; contrary; contradictory; opposite, facing; to my face; in the face; in the presence of; against; contrariwise; on the other hand; conversely; over against, opposite; opposing parties; on the contrary; like an enemy; exactly opposed"
μῑσ-έω,urn:cite2:hmt:lsj.chicago_md:n67974,hostility_enmity,seed,0.519,0.344,0.175,1045,hate; hated (would not suffer; hating; to be hated
μῑσ-ητέος,urn:cite2:hmt:lsj.chicago_md:n67980,hostility_enmity,seed,0.519,0.344,0.175,146,to be hated; one must hate
κοτ-έω,urn:cite2:hmt:lsj.chicago_md:n59369,hostility_enmity,seed,0.517,0.313,0.205,836,"bear; a grudge, be angry at; angry at; angry"
ἀντιστρᾰτήγ-ησις,urn:cite2:hmt:lsj.chicago_md:n10535,hostility_enmity,seed,0.516,0.3,0.215,67,hostile manoeuvre
ἀφῐλό-νεικος,urn:cite2:hmt:lsj.chicago_md:n18362,hostility_enmity,seed,0.516,0.368,0.148,214,not fond of strife
μίσυβρῐς,urn:cite2:hmt:lsj.chicago_md:n68117,hostility_enmity,seed,0.516,0.308,0.208,73,hating insolence
ἀντιπυργόω,urn:cite2:hmt:lsj.chicago_md:n10452,hostility_enmity,seed,0.515,0.359,0.155,189,build a tower over against; reared up; rival
ἀντιφῐλο-φρονέομαι,urn:cite2:hmt:lsj.chicago_md:n10660,hostility_enmity,seed,0.515,0.359,0.155,105,receive kindly in turn; rival
ἀντιχορηγ-έω,urn:cite2:hmt:lsj.chicago_md:n10705,hostility_enmity,seed,0.515,0.359,0.155,167,to be a rival choragus; rival; in the choragia; furnish in return
ἐρίζω,urn:cite2:hmt:lsj.chicago_md:n42432,hostility_enmity,seed,0.515,0.459,0.056,2497,"strive, wrangle, quarrel; contend; sophistical disputations; discord; rival, vie with, challenge; rival; contend with; in; rivalled; there are contests in"
συνάμιλλος,urn:cite2:hmt:lsj.chicago_md:n99180,hostility_enmity,seed,0.515,0.359,0.155,62,rival
συνεξ-ετάζω,urn:cite2:hmt:lsj.chicago_md:n100133,hostility_enmity,seed,0.515,0.399,0.116,369,search out and examine along with; together; to be reckoned with; among; party; adherents; measure oneself with; rival
ζήλ-ωμα,urn:cite2:hmt:lsj.chicago_md:n46222,hostility_enmity,seed,0.513,0.571,-0.058,386,"that which is emulated: object of envy; ambition; high fortune; emulous efforts, rivalries; emulation"
ἀντί-ζηλος,urn:cite2:hmt:lsj.chicago_md:n9932,hostility_enmity,seed,0.512,0.408,0.104,197,"rival, adversary; controversial, in rivalry"
αὐτο-χόλωτος,urn:cite2:hmt:lsj.chicago_md:n18029,hostility_enmity,seed,0.512,0.238,0.274,81,their own enemy
διαπολῑτ-εύομαι,urn:cite2:hmt:lsj.chicago_md:n25589,hostility_enmity,seed,0.512,0.406,0.106,163,to be a political rival
μῑσ-ανδρία,urn:cite2:hmt:lsj.chicago_md:n67957,hostility_enmity,seed,0.512,0.359,0.153,61,hatred of men
πᾰλαιστής,urn:cite2:hmt:lsj.chicago_md:n76784,hostility_enmity,seed,0.512,0.408,0.104,459,"wrestler; rival, adversary; suitor"
ἀδήρι-τος,urn:cite2:hmt:lsj.chicago_md:n1255,hostility_enmity,seed,0.511,0.42,0.09,267,"without strife; battle; uncontested, undisputed; not to be striven against, unconquerable"
στόβ-ος,urn:cite2:hmt:lsj.chicago_md:n96905,hostility_enmity,seed,0.511,0.339,0.172,110,"abuse, bad language, insolence"
φῐλόνῑκ-ος,urn:cite2:hmt:lsj.chicago_md:n111341,hostility_enmity,seed,0.511,0.523,-0.012,1687,"fond of victory, contentious.; in eager rivalry; contentious; fond of victory"
χόλ-ος,urn:cite2:hmt:lsj.chicago_md:n114362,hostility_enmity,seed,0.511,0.488,0.023,1612,"gall, bile; gall, bitter anger, wrath; rage; anger towards; because of; anger for, because of; bitterness; cause of anger"
προφᾰσ-ίζομαι,urn:cite2:hmt:lsj.chicago_md:n90660,hostility_enmity,seed,0.508,0.31,0.199,914,"allege by way; of excuse, plead in excuse; allege as an excuse that..; make excuses; was used as a pretext; was a mere pretence; allege; that..; seek a quarrel against"
ἐπίπλοος,urn:cite2:hmt:lsj.chicago_md:n40556,hostility_enmity,seed,0.506,0.33,0.176,345,sailing against; the enemy; sailing after; on board ship
λῡσῐ-μᾰχος,urn:cite2:hmt:lsj.chicago_md:n64208,hostility_enmity,seed,0.506,0.408,0.098,244,ending strife
συμβολ-εύς,urn:cite2:hmt:lsj.chicago_md:n98300,hostility_enmity,seed,0.506,0.299,0.207,263,twister; forked pole; one who sets; at enmity; interpreter
ἀντιπαρ-εξάγω,urn:cite2:hmt:lsj.chicago_md:n10296,hostility_enmity,seed,0.503,0.389,0.114,631,lead on against; cite; in contradiction of; incite to rivalry; bring into action as an enemy; march against; adduce arguments against; march parallel with; compare
ἐριστ-ικός,urn:cite2:hmt:lsj.chicago_md:n42538,hostility_enmity,seed,0.503,0.42,0.083,830,"eager for strife; battle; involving a contest; debate; fond of wrangling; arguing, captious; sophistry; sophism, fallacy"
ἐπίκοτ-ος,urn:cite2:hmt:lsj.chicago_md:n39840,hostility_enmity,seed,0.502,0.401,0.101,270,"wrathful, vengeful; in wrath at; wrathfully; hateful"
ἐνῑπή,urn:cite2:hmt:lsj.chicago_md:n35712,hostility_enmity,seed,0.501,0.37,0.131,474,"rebuke, reproof; abuse, contumely; angry threats; reproach; violent attack"
πραγμᾰτο-λογέω,urn:cite2:hmt:lsj.chicago_md:n86128,hostility_enmity,seed,0.5,0.287,0.213,120,"narrate facts; quarrel, argue"
προβασκ-αίνω,urn:cite2:hmt:lsj.chicago_md:n86773,hostility_enmity,seed,0.5,0.348,0.152,105,envy before; because of
φθονερ-ός,urn:cite2:hmt:lsj.chicago_md:n110739,hostility_enmity,seed,0.5,0.36,0.14,908,"envious, jealous; grudging; enviously; jealous; full of envy"
ἀμύνω,urn:cite2:hmt:lsj.chicago_md:n5607,hostility_enmity,seed,0.498,0.377,0.121,3339,"keep off, ward off; to be kept off; for; from whom; ward off; from; defend, aid, succour; aid ye give; he kept; off from; defend; succour; to aid; help!; means of defence; requite, repay; keep; ward off from oneself, guard; defend oneself against; requital, revenge:; defend oneself, act in self-defence; avenge oneself on; retaliate; are warded off; let him be driven away"
δυσμεν-έων,urn:cite2:hmt:lsj.chicago_md:n29224,hostility_enmity,seed,0.498,0.281,0.217,118,"bearing ill-will, hostile"
θύρ-ᾱθεν,urn:cite2:hmt:lsj.chicago_md:n49468,hostility_enmity,seed,0.496,0.357,0.139,396,"from outside the door; from without; outside the door, outside; foreigners, the enemy"
μῑσ-ᾰδελφία,urn:cite2:hmt:lsj.chicago_md:n67948,hostility_enmity,seed,0.496,0.28,0.217,63,hatred of oneʼs brother
ἄζηλος,urn:cite2:hmt:lsj.chicago_md:n1816,hostility_enmity,seed,0.494,0.378,0.116,363,"unenvied, unenviable, dreary; sorry; in ill plight; not deserving of envy; not envious"
ἀνάκρισις,urn:cite2:hmt:lsj.chicago_md:n6807,hostility_enmity,seed,0.494,0.349,0.145,1023,"examination; previous examination; preparation; begin proceedings; the first forms of law; inquiry, examination; preliminary examination; examination, testing; quarrel, dispute; disputation"
ἀντιλογ-ία,urn:cite2:hmt:lsj.chicago_md:n10110,hostility_enmity,seed,0.494,0.273,0.22,904,"contradiction, controversy; argue the point; to argue it; contradiction; opposing arguments; grounds for defence; dispute; quarrel, dispute; right, claim"
διά-κρῐσις,urn:cite2:hmt:lsj.chicago_md:n25055,hostility_enmity,seed,0.494,0.581,-0.087,1208,"separation, dissolution; segregation; discrimination; differentiation; resolved form; decision, determination; judicial decision; interpretation; diagnosis; determinations, crises; examination; revision of accounts; decision by battle; quarrel, dispute; space between the eyes; separation; secretion; a bandage"
ἀντᾰγων-ιστής,urn:cite2:hmt:lsj.chicago_md:n9380,hostility_enmity,seed,0.493,0.372,0.122,376,"opponent, competitor, rival; a rival; opponents"
φῐλοτῑμ-έομαι,urn:cite2:hmt:lsj.chicago_md:n111541,hostility_enmity,seed,0.492,0.62,-0.128,2215,"love; seek after honour; to be ambitious, emulous; to be jealous; vie emulously with, rival; to place oneʼs fame; glory; pride oneself; contend in rivalry; show patriotic zeal; strive eagerly to; endeavour earnestly, aspire; to be anxious that; present with; lavish upon"
διαβάλλω,urn:cite2:hmt:lsj.chicago_md:n24523,hostility_enmity,seed,0.491,0.421,0.07,3228,"throw; carry over; across; pass over, cross; put through; they threw to; set at variance; set against; bring into discredit; to be at variance with; to be filled with suspicion and resentment against; to be brought into discredit; discredited; put off with evasions; attack; calumniate; accuse, complain of; reproach; with..; misrepresent; speak; state slanderously; give hostile information; lay the blame for; disprove; declare; spurious; deceive by false accounts, impose upon, mislead; divert; contract an obligation"
ἐξυβρίζω,urn:cite2:hmt:lsj.chicago_md:n37675,hostility_enmity,seed,0.489,0.369,0.12,871,"break out into insolence, wax wanton; come; of insolence; commit; violence; extravagance; treat with insolence; despised; break out; to be over-luxuriant"
ὑβρ-ιστικός,urn:cite2:hmt:lsj.chicago_md:n106185,hostility_enmity,seed,0.488,0.379,0.109,771,"given to wantonness, insolent, outrageous; such as proceed from wanton insolence; an insolent disposition; wanton, luxuriant; of; relating to an outrage"
ἐπιτρέφω,urn:cite2:hmt:lsj.chicago_md:n41417,hostility_enmity,seed,0.485,0.369,0.116,782,"—grow; rear upon; support, maintain; supply; maintained; cause to grow upon; form upon; grow up after; grow up as a rival; successor"
προσόχθ-ισμα,urn:cite2:hmt:lsj.chicago_md:n89864,hostility_enmity,seed,0.485,0.415,0.07,121,"object of wrath, offence"
προσπολεμ-όομαι,urn:cite2:hmt:lsj.chicago_md:n89990,hostility_enmity,seed,0.484,0.258,0.226,133,"make oneʼs enemy besides, go to war with besides"
ὑβρίζω,urn:cite2:hmt:lsj.chicago_md:n106175,hostility_enmity,seed,0.482,0.489,-0.007,3615,"wax wanton, run riot; neigh; bray and prance about; run riot, grow rank and luxuriant; had been carried away; treat; despitefully, outrage, insult, maltreat; commit an outrage; to do one a personal injury; to injure that which belongs to one;; commit; outrages; commit a physical outrage on one; mauled; of ill-treatment; to be mutilated; arrogant, ostentatious"
μάρνᾰμαι,urn:cite2:hmt:lsj.chicago_md:n65072,hostility_enmity,seed,0.479,0.469,0.01,1373,"fight, do battle; with, against; together with; on his side; about; for; quarrel, wrangle; contend, strive; strive; mṛṇā´ti"
μάχομαι,urn:cite2:hmt:lsj.chicago_md:n65313,hostility_enmity,seed,0.479,0.428,0.051,3420,"fight; fight with; against; with thy help; will fight; the force that had; come into action; fight against; quarrel, wrangle; make a scene; dispute, argue; contend for the mastery; measure oneself with; struggle against; struggle, make an effort; to be in contradiction; inconsistent"
διαπολῑτ-εία,urn:cite2:hmt:lsj.chicago_md:n25588,hostility_enmity,seed,0.478,0.326,0.152,95,party-strife
ἐξῐσ-όω,urn:cite2:hmt:lsj.chicago_md:n37408,hostility_enmity,seed,0.477,0.404,0.073,1046,"make equal; even, bring to a level with; bring; abreast; make oneself equal; to be; become equal; to be reduced to a level with; to be a match for, rival; put on a level; levelled, equalized; resolved in harmony; levelled; to be equal; like; acts; make; equal"
ἐπι-βλέπω,urn:cite2:hmt:lsj.chicago_md:n38928,hostility_enmity,seed,0.477,0.36,0.118,679,"look upon, look attentively; look well at; observe; being taken; into consideration; face; eye with envy; to be in aspect with"
φρον-ημᾰτισμός,urn:cite2:hmt:lsj.chicago_md:n112354,hostility_enmity,seed,0.477,0.376,0.101,98,"presumptuousness, arrogance"
ἀντιγεννάω,urn:cite2:hmt:lsj.chicago_md:n9834,hostility_enmity,seed,0.476,0.352,0.124,107,generate in rivalry; in return
ὑφίστημι,urn:cite2:hmt:lsj.chicago_md:n109865,hostility_enmity,seed,0.475,0.659,-0.184,7345,"place; set under; having set; under; to support; plants; having laid; as a foundation, having begun with; post secretly; in ambush; bring to a halt, hold up; stationed; give substance to, cause to subsist, ‘hypostatize’; treat as subsisting; lay down, premise; substitute; conceive, suppose; set before onself; stand under as a support; sink, settle; sediment, deposit; set; place oneself under an engagement, promise; after promise given; he promised; I promised; we made; submit; submit to, consent to; who offers to take; undertake; unwillingly; consent, bring oneself to; submit patiently; yields; make an offer; make; bid, commit myself to; undertook; x] PTheb. Bank; laid himself open to; lie concealed; resist, withstand; stand oneʼs ground, face the enemy; subsist, exist; business in hand; having; open; are costive; are obstructed; stopped; arise within"
πᾰλεο-μίσημα,urn:cite2:hmt:lsj.chicago_md:n76817,hostility_enmity,seed,0.474,0.349,0.125,100,ancient object of hate
μῑσο-λογία,urn:cite2:hmt:lsj.chicago_md:n68063,hostility_enmity,seed,0.47,0.215,0.255,132,hatred of argument; hatred of speaking
μῑσο-στρᾰτιώτης,urn:cite2:hmt:lsj.chicago_md:n68098,hostility_enmity,seed,0.469,0.23,0.238,68,the soldierʼs enemy
ἐπιπολ-άζω,urn:cite2:hmt:lsj.chicago_md:n40578,hostility_enmity,seed,0.468,0.428,0.04,1568,"to be at the top, come to the surface, float on the surface; hover over; remain; crude; have the upper hand, prevail; to be prevalent, fashionable, current; to be common, abound; abounding; to be ‘uppish’; insolent; behave insolently; to; wander over; overflow; be engaged upon"
μῑσο-γῠνία,urn:cite2:hmt:lsj.chicago_md:n68039,hostility_enmity,seed,0.468,0.346,0.122,78,hatred of women
ὀνείδ-ισμα,urn:cite2:hmt:lsj.chicago_md:n74008,hostility_enmity,seed,0.468,0.209,0.259,69,"insult, reproach, blame"
ἀπᾰμύνω,urn:cite2:hmt:lsj.chicago_md:n11362,hostility_enmity,seed,0.466,0.373,0.093,817,"keep off, ward off; for; from; repulse; requite, take vengeance on; keep off from oneself, drive back, repel; defend, protect oneself; may protect ourselves"
ἀντιμερίτης,urn:cite2:hmt:lsj.chicago_md:n10144,hostility_enmity,seed,0.465,0.266,0.199,71,rival claimant
φθόν-ησις,urn:cite2:hmt:lsj.chicago_md:n110741,hostility_enmity,seed,0.464,0.272,0.192,61,jealous refusal
ὑπερηφᾰν-ία,urn:cite2:hmt:lsj.chicago_md:n107546,hostility_enmity,seed,0.463,0.342,0.121,350,arrogance; contempt towards; for
κοτ-ήεις,urn:cite2:hmt:lsj.chicago_md:n59370,hostility_enmity,seed,0.462,0.285,0.177,89,"wrathful, jealous"
ἀντιμέτ-ειμι,urn:cite2:hmt:lsj.chicago_md:n10172,hostility_enmity,seed,0.461,0.316,0.145,127,ibo; compete with; rival competitors
ὕβρις,urn:cite2:hmt:lsj.chicago_md:n106177,hostility_enmity,seed,0.461,0.508,-0.047,2969,"wanton violence; insolence; in wantonness; lust, lewdness; violence; an outrage; outrage; wanton acts, outrages; an outrage on the person; violation, rape; the more serious injuries done to the person; a loss by sea; a violent, overbearing man"
ἀντίτῠπ-ος,urn:cite2:hmt:lsj.chicago_md:n10631,hostility_enmity,seed,0.46,0.524,-0.063,1854,"repelled; blow and counter-blow; echoed, echoing; repercussion; reflected; corresponding; figuring; representing; resembling; feigned, counterfeit; mutual; image; reproduction, copy; antitype; repelling; firm, resistent; rigid, inelastic; hard ground; most resistent; stubborn, obstinate; harsh-sounding; glaring; opposed to; the reverse of..; the adversary; adverse; opposite, over against"
ἐπικᾰλέω,urn:cite2:hmt:lsj.chicago_md:n39550,hostility_enmity,seed,0.459,0.365,0.094,2449,"summon; invoke; over; to be; gracious to; watch over; pray for; invite; call in; appeal to; appello, provoco; call before one, summon; challenge; call by surname; to be called by surname; to be nicknamed; bring as an accusation against; accuse; is; your charge; objecting to; let; bring his action; plaintiff; imputed; to him; which he was charged with having; sums claimed; quarrel, dispute with"
ἀπεχθ-ητικός,urn:cite2:hmt:lsj.chicago_md:n12031,hostility_enmity,seed,0.458,0.284,0.174,110,"full of hatred, envious"
μεγαίρω,urn:cite2:hmt:lsj.chicago_md:n65334,hostility_enmity,seed,0.458,0.544,-0.086,1414,regard as too great; grudge; as too great; complain; object; feel a grudge towards; care; grudging; to be envied; bewitch
νεμεσάω,urn:cite2:hmt:lsj.chicago_md:n70168,hostility_enmity,seed,0.458,0.399,0.059,2173,"feel just resentment, to be wroth at undeserved good; bad fortune; to be wroth with; at; grudge; to be displeased with oneself; is indignant, ashamed at the thought of.., rejects it as unseemly; feel shame; is wroth at"
ὄκν-ος,urn:cite2:hmt:lsj.chicago_md:n72769,hostility_enmity,seed,0.458,0.261,0.197,1022,"shrinking, hesitation; alarm, fear; grudge; hesitate"
μεγᾰλ-αυχία,urn:cite2:hmt:lsj.chicago_md:n65353,hostility_enmity,seed,0.457,0.342,0.115,136,"boasting, arrogance; exultation"
ἀγαυρ-ίᾱμα,urn:cite2:hmt:lsj.chicago_md:n371,hostility_enmity,seed,0.456,0.322,0.134,70,insolence
ἀνθυφίστᾰμαι,urn:cite2:hmt:lsj.chicago_md:n8976,hostility_enmity,seed,0.456,0.387,0.069,234,undertake for; undertake to serve; in rivalry with; imply reciprocally
ἀντεπι-θῡμέω,urn:cite2:hmt:lsj.chicago_md:n9680,hostility_enmity,seed,0.456,0.489,-0.033,204,desire; in rivalry with; have oneʼs; desired in turn
θρᾰσυστομ-ία,urn:cite2:hmt:lsj.chicago_md:n49049,hostility_enmity,seed,0.456,0.322,0.134,57,insolence
συνυβρίζω,urn:cite2:hmt:lsj.chicago_md:n101102,hostility_enmity,seed,0.456,0.322,0.134,136,join in violence; insolence; to be insulted as well
ἀνταν-ίστημι,urn:cite2:hmt:lsj.chicago_md:n9459,hostility_enmity,seed,0.455,0.36,0.095,260,set up against; in rivalry; rise up against; rise one against another
ἀντί-ξοος,urn:cite2:hmt:lsj.chicago_md:n10221,hostility_enmity,seed,0.455,0.36,0.096,553,"opposed to, adverse; opposition; in hostile spirit; opposite side"
παρα-φθᾰδόν,urn:cite2:hmt:lsj.chicago_md:n79017,hostility_enmity,seed,0.455,0.33,0.125,99,overtaking; in rivalry
ἐπιβολ-ή,urn:cite2:hmt:lsj.chicago_md:n38954,hostility_enmity,seed,0.454,0.444,0.01,3497,"throwing; laying; on; affixing; a fray; massage; application; scrupulously; act of direct apprehension; intuition; conception, notion; point of view; doctrine; principles; impulse; setting upon; design, attempt, enterprise; writing; acquisition; designs; designedly; hostile attempt, assault; that which is laid on; courses; layers; superstructure, gallery; commissures; penalty, fine; the penalty; imposed; fine; requisition, number of men; required; impost, public burden; requisition; additional quantity; proportion; pro rata; a thing put over for shelter; protection; embankment; cloak; introduction, approach; power, ‘grasp’; general survey, consideration; ‘trimmings’, ornament; ‘projection’"
ὄπῐς,urn:cite2:hmt:lsj.chicago_md:n74458,hostility_enmity,seed,0.453,0.471,-0.018,1355,"the vengeance; visitation; divine vengeance; the care; favour; the awful regard; religious awe, veneration, obedience; regard; reverence towards; due reverence for; pious care; zeal"
ἁψι-μᾰχέω,urn:cite2:hmt:lsj.chicago_md:n18883,hostility_enmity,seed,0.451,0.445,0.006,150,skirmish with an enemy; entice; lead on to fight
ἄδηρις,urn:cite2:hmt:lsj.chicago_md:n1254,hostility_enmity,seed,0.45,0.374,0.077,101,without strife
ἁμόθι,urn:cite2:hmt:lsj.chicago_md:n5382,hostility_enmity,seed,0.45,0.374,0.077,147,"together, in common; without strife"
μήνῑμα,urn:cite2:hmt:lsj.chicago_md:n67483,hostility_enmity,seed,0.45,0.36,0.091,495,cause of wrath; guilt; blood-guiltiness; wrath
τῑμωρ-ητικός,urn:cite2:hmt:lsj.chicago_md:n104022,hostility_enmity,seed,0.45,0.357,0.093,199,revengeful; acts of revenge
ὕβρ-ισμα,urn:cite2:hmt:lsj.chicago_md:n106180,hostility_enmity,seed,0.45,0.31,0.14,446,"wanton; insolent act, outrage; object of insolence"
ἀντηρέτης,urn:cite2:hmt:lsj.chicago_md:n9767,hostility_enmity,seed,0.449,0.333,0.116,178,"one who rows against; opponent, adversary"
ἀντίδῐκ-ος,urn:cite2:hmt:lsj.chicago_md:n9903,hostility_enmity,seed,0.449,0.333,0.116,363,"opponent; adversary in a suit; the defendant; the plaintiff; opponent, adversary"
ἀντιστᾰτ-ης,urn:cite2:hmt:lsj.chicago_md:n10518,hostility_enmity,seed,0.449,0.333,0.116,156,"opponent, adversary; vertical beam"
ἐνδιαβάλλω,urn:cite2:hmt:lsj.chicago_md:n35177,hostility_enmity,seed,0.449,0.338,0.111,172,calumniate; stand in the way as an adversary
προδίδωμι,urn:cite2:hmt:lsj.chicago_md:n87038,hostility_enmity,seed,0.449,0.443,0.006,2349,"give beforehand, pay in advance; give first; give up; deliver up; give up to the enemy, betray; forsake, abandon; play false, desert; will; prove traitor; treat treasonably; to be guilty of treachery; betray, fail; fail; run dry; surrender, give up; to be false to, fail to uphold; give up as lost, bid adieu to"
ἀντιπαρα-σκευή,urn:cite2:hmt:lsj.chicago_md:n10283,hostility_enmity,seed,0.448,0.286,0.161,61,hostile preparation
ἀντισυμποσιάζω,urn:cite2:hmt:lsj.chicago_md:n10553,hostility_enmity,seed,0.448,0.291,0.157,81,write a Symposium in rivalry of
κατεχθραίνω,urn:cite2:hmt:lsj.chicago_md:n55902,hostility_enmity,seed,0.448,0.285,0.163,67,hate inveterately
ἐπισυμ-μᾰχία,urn:cite2:hmt:lsj.chicago_md:n41114,hostility_enmity,seed,0.447,0.313,0.135,104,alliance against a common enemy
κατατολμάω,urn:cite2:hmt:lsj.chicago_md:n55418,hostility_enmity,seed,0.447,0.362,0.086,630,"behave boldly towards; make an insolent attack upon; presume beyond; make a bold bid for; desperate, reckless persons"
ἀγαυρ-ιάομαι,urn:cite2:hmt:lsj.chicago_md:n372,hostility_enmity,seed,0.446,0.289,0.157,73,to be insolent
ἀτασθάλλω,urn:cite2:hmt:lsj.chicago_md:n16980,hostility_enmity,seed,0.446,0.289,0.157,145,to be insolent
ἐπηρε-άζω,urn:cite2:hmt:lsj.chicago_md:n38835,hostility_enmity,seed,0.446,0.316,0.13,845,"threaten abusively; speak disparagingly of; deal despitefully with, act despitefully towards; oppose; insolently; to be insolent; to be insulted"
Σᾰτάν,urn:cite2:hmt:lsj.chicago_md:n93405,hostility_enmity,seed,0.446,0.327,0.119,448,"Satan; adversary, opponent; accuser; chief of the evil spirits, the Devil; NT"
ὑπέρθῡμος,urn:cite2:hmt:lsj.chicago_md:n107581,hostility_enmity,seed,0.446,0.372,0.074,543,"high-spirited, high-minded, daring; overweening; over-spirited; vehemently angry; in; vehement wrath; eagerly, readily"
ἀντιμῑσέω,urn:cite2:hmt:lsj.chicago_md:n10186,hostility_enmity,seed,0.444,0.351,0.093,54,hate in return
σκῡλ-ευτής,urn:cite2:hmt:lsj.chicago_md:n95301,hostility_enmity,seed,0.444,0.282,0.161,76,one who strips a slain enemy
ἀντεπι-δείκνῡμι,urn:cite2:hmt:lsj.chicago_md:n9677,hostility_enmity,seed,0.443,0.348,0.095,309,exhibit in turn; contrast; exhibit oneself in competition; display a; sight in rivalry with
μενε-δήϊος,urn:cite2:hmt:lsj.chicago_md:n66266,hostility_enmity,seed,0.443,0.37,0.072,141,"standing oneʼs ground against the enemy, staunch"
ἀναντᾰγώνιστος,urn:cite2:hmt:lsj.chicago_md:n7079,hostility_enmity,seed,0.441,0.356,0.085,358,"without a struggle; unchallenged; unalloyed; without having to strive for it; irresistible; without a rival, incomparable"
συνεχθ-αίρω,urn:cite2:hmt:lsj.chicago_md:n100496,hostility_enmity,seed,0.439,0.338,0.102,95,"hate together, join in hating"
φθον-ητέον,urn:cite2:hmt:lsj.chicago_md:n110742,hostility_enmity,seed,0.438,0.281,0.157,72,one must envy
ὄνομαι,urn:cite2:hmt:lsj.chicago_md:n74128,hostility_enmity,seed,0.437,0.339,0.099,1164,"blame, find fault with, treat scornfully; do ye think it a light thing; is it to your profit; thou wilt; quarrel with; deem; too light; throw a slur upon"
προσεπι-φθονέω,urn:cite2:hmt:lsj.chicago_md:n89284,hostility_enmity,seed,0.436,0.196,0.241,59,grudge besides
μῑσ-ητικός,urn:cite2:hmt:lsj.chicago_md:n67984,hostility_enmity,seed,0.435,0.311,0.125,69,inclined to hate
ἀντιπαρά-ταξις,urn:cite2:hmt:lsj.chicago_md:n10286,hostility_enmity,seed,0.434,0.285,0.149,166,hostile demonstration; stubborn determination to resist
ἀπήμων,urn:cite2:hmt:lsj.chicago_md:n12069,hostility_enmity,seed,0.433,0.387,0.046,755,"unharmed, unhurt; without sorrow; care; doing no harm; kindly, propitious; without hostile intent; free from harm to"
ἀπότροπ-ος,urn:cite2:hmt:lsj.chicago_md:n14127,hostility_enmity,seed,0.432,0.28,0.152,590,"turned away, far from men; turned away in flight; from which one turns away, horrible; stern, hostile; turning away, averting; preventing, saving from"
ἐπηρε-αστής,urn:cite2:hmt:lsj.chicago_md:n38837,hostility_enmity,seed,0.432,0.239,0.193,112,insolent person
ἐφυβρ-ιστής,urn:cite2:hmt:lsj.chicago_md:n45847,hostility_enmity,seed,0.432,0.239,0.193,66,insolent person
νέμεσις,urn:cite2:hmt:lsj.chicago_md:n70177,hostility_enmity,seed,0.432,0.36,0.073,1735,distribution of what is due; retribution; righteous anger; cause for anger; wrath; indignation at undeserved good fortune; Nemesis; divine Retribution; avenger; five
ἀποφθαλμόομαι,urn:cite2:hmt:lsj.chicago_md:n14204,hostility_enmity,seed,0.429,0.342,0.086,94,"look askance at; covet, envy"
καταβάλλω,urn:cite2:hmt:lsj.chicago_md:n53653,hostility_enmity,seed,0.429,0.367,0.062,4674,"throw down, overthrow; to bring down; confound, defy; throw; down; strike down; slay; to be stricken; throw, bring; overthrow, refute; abuse, bully; cast down; away, cast off, reject; forget; throw away; despicable fellows; let fall, drop; droop; abandon; lay down, set down; lay down, lay in; stored up; pay down, yield, bring in; pay; pay up, discharge; put in, deposit; deposit; throw down; sow; spread abroad; lay down as a foundation; beginning; to be the author of, commit to writing; fundamental, established; begin; lie down; arrive; fall"
ἄντῐτος,urn:cite2:hmt:lsj.chicago_md:n10619,hostility_enmity,seed,0.426,0.343,0.084,235,"requited, revenged; of revenge; revenge for"
ἀπομνησικᾰκέω,urn:cite2:hmt:lsj.chicago_md:n13230,hostility_enmity,seed,0.426,0.203,0.223,89,bear a grudge against
βᾰρύ-ζηλος,urn:cite2:hmt:lsj.chicago_md:n19418,hostility_enmity,seed,0.426,0.246,0.18,96,exceeding jealous; envious
ἐθελ-εχθρέω,urn:cite2:hmt:lsj.chicago_md:n30757,hostility_enmity,seed,0.426,0.203,0.223,113,bear a grudge against
μῶμος,urn:cite2:hmt:lsj.chicago_md:n69593,hostility_enmity,seed,0.426,0.33,0.096,515,"blame, reproach, disgrace; brand; blemish; Momus"
βλασφημ-ία,urn:cite2:hmt:lsj.chicago_md:n20068,hostility_enmity,seed,0.423,0.343,0.08,592,"word of evil omen, profane speech; defamation, slander; of abuse; irreverent speech against God, blasphemy; against.."
κᾰκηγορ-έω,urn:cite2:hmt:lsj.chicago_md:n52084,hostility_enmity,seed,0.423,0.284,0.139,293,"speak ill of, abuse, slander; evil-speaking; to be abused"
ἐθέλ-εχθρος,urn:cite2:hmt:lsj.chicago_md:n30758,hostility_enmity,seed,0.421,0.203,0.218,139,bearing one a grudge
θράσος,urn:cite2:hmt:lsj.chicago_md:n49022,hostility_enmity,seed,0.421,0.442,-0.021,1219,"courage; boldly; confidence; over-boldness, rashness, insolence"
