lemma,sense_id,n_occ,n_senses_lemma,silhouette,gloss,gloss_source,top_context_lemmas,example_citations
κῦμα,0,3,1,,"anything swollen; pregnant; wave, billow; swell",lsj,στεῖρα πορφύρεος μέγας ἰάχω ναῦς εἶμι θέω διαπράσσω κέλευθος ἀναδύνω θάλασσα,Iliad 1.496; Iliad 1.483; Iliad 1.481
χρύσεος,0,3,1,,golden; enriched; adorned with gold; gold,lsj,Ἀπόλλων σκῆπτρον ἔρχομαι θοός ναῦς Ἀχαιός λύω θυγάτηρ φέρω ἀπερείσιος ἄποινα στέμμα,Iliad 1.15; Iliad 1.374; Iliad 1.246
νέος,0,3,1,,"young, youthful; youths; youth upwards; youth",lsj,ἄμφω βαίνω κῆρυξ ἄγω κόρη Βρισεύς δίδωμι υἱός Ἀχαιός ἔχω πεμπώβολον χείρ,Iliad 1.259; Iliad 1.463; Iliad 1.391
κνῖσα,0,3,1,,steam and odour of fat; smell; savour of a burnt sacrifice; odour of savoury meat,lsj,μάντις εἴρω2 ἱερεύς ὀνειροπόλος ὄναρ Ζεύς εἶπον τόσος χώομαι Φοῖβος Ἀπόλλων εὐχωλή,Iliad 1.460; Iliad 1.66; Iliad 1.317
ἔρομαι,0,3,1,,"ask, inquire; learn by inquiry; ask after; for",lsj,δεύτερος μεταλλάω,Iliad 1.513; Iliad 1.553; Iliad 1.332
βούλομαι,0,3,1,,"will, wish, be willing; wish is will; willed; that supports",lsj,μάντις εἴρω2 ἱερεύς ὀνειροπόλος ὄναρ Ζεύς εἶπον τόσος χώομαι Φοῖβος Ἀπόλλων εὐχωλή,Iliad 1.112; Iliad 1.67; Iliad 1.117
ἄλγος,0,3,1,,pain; sufferings; grief; grief for,lsj,δίδωμι ἑκηβόλος μυρίος Ἀχαιός τίθημι Δαναοί θεοπροπέω ἀγορεύω τεύχω κόρη Χρυσηίς ἀγλαός,Iliad 1.96; Iliad 1.2; Iliad 1.110
πρόφρων,0,3,1,,"with forward mind; of oneʼs free will; fain; kindly, gracious, willing",lsj,ἔπος ὄμνυμι χείρ ἀρήγω ἀναίδεια ἐπιέννυμι κερδαλεόφρων πείθω Ἀχαιός ὁδός ἔρχομαι ἀνήρ,Iliad 1.77; Iliad 1.150; Iliad 1.543
κέλομαι,0,3,1,,"urge, exhort, command; commands; advise; constrained",lsj,Ἀχιλλεύς Ζεύς φίλος μυθέομαι μῆνις Ἀπόλλων ἑκατηβελέτης ἄναξ ἀποδίδωμι πρῶτος θεός ἱλάσκομαι,Iliad 1.74; Iliad 1.134; Iliad 1.386
ἀτιμάω,0,3,1,,"dishonour, disdain",lsj,Ἀγαμέμνων εὐχωλή ἐπιμέμφομαι ἑκατόμβη ἀρητήρ Ἀτρείδης εὐρύς κρείων ἄναξ ἀνήρ,Iliad 1.356; Iliad 1.507; Iliad 1.94
προίημι,0,3,1,,"send forth, send forward; send; forward; will allow",lsj (relaxed match),θεός εἶπον ἐπαίτιος Ἀγαμέμνων Βρισηίς κόρη,Iliad 1.336; Iliad 1.326; Iliad 1.127
φρονέω,0,3,1,,"to be minded; have understanding, be wise, prudent; counsel; to be",lsj,ἀγοράομαι μετεῖπον φίλος κρυπτάδιος δικάζω,Iliad 1.73; Iliad 1.253; Iliad 1.542
ἕκαστος,0,3,1,,each; every one; every single; all and each severally,lsj,καταδύω λαμπρός φάος ἥλιος κατακείω βαίνω οἶκος δῶμα περικλυτός ἀμφιγυήεις Ἥφαιστος ποιέω,Iliad 1.607; Iliad 1.606; Iliad 1.550
ξίφος,0,3,1,,sword; power of life and death; jus gladii; sword-shaped bone,lsj,ἕλκω κολεόν μέγας ὁρμαίνω φρήν θυμός ἔρχομαι Ἀθήνη χείρ ὠθέω,Iliad 1.194; Iliad 1.220; Iliad 1.210
νεφεληγερέτα,0,3,1,,cloud-gatherer,lsj,πρόσφημι Ζεύς μέγας ὀχθέω ἀπαμείβομαι,Iliad 1.517; Iliad 1.560; Iliad 1.511
χέω,0,3,1,,"pour; pour out, let flow; snows; gush forth",lsj,δάκρυ φημί καθέζομαι χείρ καταρρέζω ἔπος ὀνομάζω ἀμείβω Θέτις,Iliad 1.357; Iliad 1.360; Iliad 1.413
μάκαρ,0,3,1,,"blessed, happy; the blessed ones; gods; blest, fortunate",lsj,θεός μάρτυρος θνητός ἄνθρωπος βασιλεύς ἀπηνής χρεώ γίγνομαι ἀεικής λοιγός ἀμύνω ὑποδείδω,Iliad 1.339; Iliad 1.406; Iliad 1.599
ἀπαυράω,0,3,1,,,none,αἱρέω ἔχω γέρας λείπω χώομαι θυμός εὔζωνος γυνή βία ἀέκων,Iliad 1.356; Iliad 1.507; Iliad 1.430
τεύχω,0,3,1,,"make ready, make; produce by work; art; make, build",lsj,δαίς1 ἑλώριον κύων οἰωνός πᾶς Δαναοί θεοπροπέω ἀγορεύω ἑκηβόλος ἄλγος κόρη Χρυσηίς,Iliad 1.4; Iliad 1.110; Iliad 1.467
φέρτατος,0,3,1,,"bravest, best; the best; least bad; best",lsj,εἶμι πολύς Φθία ναῦς κορωνίς καρτερός θεά γείνομαι μήτηρ πλείων ἀνάσσω,Iliad 1.281; Iliad 1.169; Iliad 1.581
κύων,0,3,1,,"dog, bitch; shepherds’ dogs; watch-dogs; hounds",lsj,ἑλώριον τεύχω οἰωνός πᾶς ὀρεύς πρῶτος ἐποίχομαι ἀργός οἰνοβαρής ὄμμα ἔχω καρδία,Iliad 1.50; Iliad 1.225; Iliad 1.4
Κάλχας,0,3,1,,Calchas,lsj,ἄριστος ναῦς Ἀχαιός Ἀπόλλων εὔχομαι Δαναοί ἀνίστημι Θεστορίδης οἰωνοπόλος οἶδα ἡγέομαι Ἴλιος,Iliad 1.69; Iliad 1.105; Iliad 1.86
δάκρυ,0,3,1,,Ev. Luc; tear; drop; lacruma,lsj,χέω φημί καθέζομαι χείρ καταρρέζω ἔπος ὀνομάζω ἀμείβω Θέτις,Iliad 1.360; Iliad 1.357; Iliad 1.413
λήγω,0,3,1,,"stay, abate; would stay; from; leave off, cease",lsj,ἔρις χόλος Ἀγαμέμνων πρῶτος ἐπαπειλέω Ἀχιλλεύς,Iliad 1.319; Iliad 1.210; Iliad 1.224
ἐκπέρθω,0,3,1,,"destroy utterly, sack; take as booty from",lsj,Ἀχαιός ἔχω πόλις Ἀτρείδης ἐυκνήμις θεός δίδωμι Ὀλύμπιος δῶμα Πρίαμος ἱκνέομαι δατέομαι,Iliad 1.164; Iliad 1.19; Iliad 1.125
βαρύς,0,3,1,,"heavy in weight; strength and force; bushy; heavy with age, infirmity",lsj,εὔχομαι Δαναοί χείρ Ἀπόλλων Ζεύς φίλος Κάλχας θεοπροπία ἀναφαίνω ζάω χθών δέρκομαι,Iliad 1.89; Iliad 1.219; Iliad 1.364
πέλω,0,3,1,,"come into existence, become, be; was; when once in being; become",lsj,πᾶς ὠκύμορος λίσσομαι Ἀχιλλεύς μεθίημι χόλος μέγας ἕρκος Ἀχαιός πόλεμος κακός ὀιζυρός,Iliad 1.506; Iliad 1.418; Iliad 1.284
ἱστός,0,3,1,,"anything set upright; mast; the mast; rod, pole",lsj,γῆρας ἔπειμι οἶκος Ἄργος πάτρη ἐποίχομαι λέχος ἀντιάω ἱστοδόκη πελάζω πρότονοι ὑφίημι,Iliad 1.480; Iliad 1.31; Iliad 1.434
ἄχνυμαι,0,3,1,,,none,δύναμαι χραισμέω ἀνίστημι ἥρως Ἀτρείδης εὐρύς κρείων Ἀγαμέμνων πολύς Ἕκτωρ ἀνδροφόνος θνήσκω,Iliad 1.588; Iliad 1.241; Iliad 1.103
μένος,0,3,1,,"might, force; strength, fierceness; spirit; force, might",lsj,παύω μέγας φρήν ἀμφιμέλας πίμπλημι ἔρχομαι πείθω Ἀτρείδης,Iliad 1.207; Iliad 1.282; Iliad 1.103
ἀπειλέω,0,3,1,,"keep away; brought; forced; unroll, roll off",lsj,γέρας ἀφαιρέω πολύς μογέω δίδωμι υἱός Ἀχαιός ἀνίστημι μῦθος τελέω,Iliad 1.181; Iliad 1.388; Iliad 1.161
ἐποίχομαι,0,3,1,,"go towards, approach; draw near to; approach with hostile purpose, attack; go over, traverse",lsj,γῆρας ἔπειμι οἶκος Ἄργος πάτρη ἱστός λέχος ἀντιάω ὀρεύς πρῶτος κύων ἀργός,Iliad 1.50; Iliad 1.383; Iliad 1.31
κῆρ,0,3,1,,"heart; with all the heart, heartily; exceedingly; throughout",lsj,φίλος βαίνω Ὄλυμπος κάρηνον χώομαι τόξον ὦμος ἔχω ἀμφηρεφής φαρέτρα φθινύθω μένω,Iliad 1.569; Iliad 1.491; Iliad 1.44
γλυκύς,0,3,1,,"sweet to the taste; smell; pleasant, delightful; sweet, fresh",lsj,Νέστωρ ἡδυεπής ἀνορούω λιγύς Πύλιος ἀγορητής γλῶσσα μέλι ῥέω αὐδή θεός ἐνδέξιος,Iliad 1.598; Iliad 1.610; Iliad 1.249
σῶς,0,3,1,,"safe and sound, alive and well; safe, whole; preserved, extant; intact",lsj,ἐρεθίζω νέομαι βούλομαι λαός ἀπόλλυμι οἶδα νοέω ναῦς μάχομαι Ἀχαιός,Iliad 1.32; Iliad 1.344; Iliad 1.117
πέμπω,0,3,1,,send; over; send for; send to,lsj,Φοῖβος ναῦς Χρύσης ἄναξ ἀφαιρέω Χρυσηίς Ἀπόλλων ἑταῖρος θοός ἑλίκωψ Ἀχαιός ἀνήρ,Iliad 1.390; Iliad 1.184; Iliad 1.442
δείδω,0,3,1,,"fear; to be alarmed, anxious; fear to do; fear, dread",lsj,γέρων φρήν παρεῖπον ἀργυρόπεζος Θέτις θυγάτηρ ἅλιος βοῶπις πότνια Ἥρα,Iliad 1.33; Iliad 1.568; Iliad 1.555
ἱστίον,0,3,1,,"web, cloth, sheet; hangings; piece; sail",lsj,λιμήν πολυβενθής ἱκνέομαι στέλλω τίθημι ναῦς μέλας ἱστός ἵστημι λευκός πετάννυμι ἄνεμος,Iliad 1.480; Iliad 1.433; Iliad 1.481
μηνίω,0,3,1,,"cherish wrath, be wroth against; because of",lsj,ναῦς πάρημαι ὠκύπορος Ἀτρείδης Ἀχαιός διογενής Πηλεύς υἱός πούς ὠκύς Ἀχιλλεύς,Iliad 1.488; Iliad 1.247; Iliad 1.422
εἴκω1,0,3,1,,"to be like, seem likely",lsj (homograph 1),εἶμι νύξ ὄσσε πῦρ λαμπετάω γέρας ἑτοιμάζω οἶος Ἀργεῖος ἀγέραστος,Iliad 1.104; Iliad 1.47; Iliad 1.119
Ἑκάεργος,0,3,1,,nine,lsj,ἀνήρ ἱλάσκομαι εἷς ἀρχός βουληφόρος Αἴας Ἰδομενεύς δῖος Ὀδυσσεύς Πηλείδης πᾶς ἔκπαγλος,Iliad 1.474; Iliad 1.147; Iliad 1.479
μένω,0,3,1,,"stay, wait; stand fast; stay at home, stay where one is; lodge, stay",lsj,λίσσομαι φθινύθω φίλος κῆρ τλάω ἐπέρχομαι,Iliad 1.174; Iliad 1.492; Iliad 1.535
κράτιστος,0,3,1,,,none,ἐπιχθόνιος τρέφω ἀνήρ μάχομαι φήρ ὀρεσκῷος,Iliad 1.267; Iliad 1.266; Iliad 1.267
χείρων,0,3,1,,"meaner, inferior; worse than others; knave; worse",lsj,κρείσσων βασιλεύς χώομαι ἀνήρ Κλυταιμνήστρη προβέβουλα κουρίδιος ἄλοχος δέμας φυή φρήν ἔργον,Iliad 1.576; Iliad 1.114; Iliad 1.80
Πρίαμος,0,3,1,,priam; like Priam,lsj,γηθέω παῖς Τρώς μέγας χαίρω θυμός πᾶς πυνθάνομαι μάρναμαι βουλή Δαναοί μάχομαι,Iliad 1.19; Iliad 1.255; Iliad 1.255
οἶος,0,3,1,,"alone, lonely; alone; naught but; only",lsj,γέρας ἑτοιμάζω Ἀργεῖος ἀγέραστος εἴκω1 ξανθός κόμη αἱρέω Πηλείων φαίνω πατήρ μέγαρον,Iliad 1.198; Iliad 1.398; Iliad 1.118
ὅσος,0,3,1,,"as great as, how great; as much as, how much; as far as, how far; as long as, how long",lsj,εἶμι θεός ἄγω Βρισηίς καλλιπάρηος κλισία γέρας εἶδον φέρτερος στυγέω ἴσος φημί,Iliad 1.186; Iliad 1.516; Iliad 1.566
ἀναβαίνω,0,3,1,,"go up, mount; go up to; goes up among; to trample on",lsj,ἐπιπλέω ὑγρός κέλευθος ἠέριος μέγας οὐρανός Ὄλυμπος καθεύδω,Iliad 1.312; Iliad 1.611; Iliad 1.497
Ἥφαιστος,0,3,1,,Hephaestus; Volcanus; Plah; nine,lsj,δῶμα ἕκαστος κλυτοτέχνης ἄρχω ἀγορεύω μήτηρ φίλος ἐπίηρα φέρω λευκώλενος Ἥρα ἄσβεστος,Iliad 1.608; Iliad 1.571; Iliad 1.600
αἰδέομαι,0,3,1,,"to be ashamed; from a sense of shame; stand in awe of, fear; show a sense of regard",lsj,πᾶς ἐπευφημέω Ἀχαιός ἱερεύς ἀγλαός δέχομαι ἄποινα ταρβέω βασιλεύς ἵστημι,Iliad 1.23; Iliad 1.377; Iliad 1.331
ἐπιπείθομαι,0,3,1,,"to be persuaded; trust; to, put faith in; comply with, obey",lsj,θεός κλύω Πάτροκλος φίλος ἑταῖρος μῦθος χραισμέω ὅσος Ὄλυμπος εἶμι ἄαπτος χείρ,Iliad 1.345; Iliad 1.565; Iliad 1.218
βέλος,0,3,1,,"missile; arrow, dart; hurled; thrown",lsj,τίνω Δαναοί δάκρυον ἐχεπευκής ἐφίημι βάλλω ἵημι Ἀργεῖος κακός,Iliad 1.51; Iliad 1.382; Iliad 1.42
ὁράω,0,3,1,,"Inscr. des tombeaux des rois; I know; a)ware; see, look",lsj,κήδω Δαναοί θνήσκω Ἀχιλλεύς δακρύω ἑταῖρος ἕζομαι λιάζομαι θίς ἅλς1 πολιός ἀπείρων,Iliad 1.56; Iliad 1.198; Iliad 1.350
τρέφω,0,3,1,,"thicken; congeal; curdle; curdle, congeal",lsj,γενεά μέροψ ἄνθρωπος φθίω γίγνομαι Πύλος ἠγάθεος κράτιστος ἐπιχθόνιος ἀνήρ τέκνον αἰνός,Iliad 1.266; Iliad 1.251; Iliad 1.414
θνήσκω,0,3,1,,Papers of the Amer. School; die; to be dead; dead,lsj (relaxed match),κήδω Δαναοί ὁράω δύναμαι ἄχνυμαι χραισμέω πολύς Ἕκτωρ ἀνδροφόνος πίπτω λαός ἐπασσύτερος,Iliad 1.243; Iliad 1.56; Iliad 1.383
αἴξ,0,3,1,,goat; ibex; the star Capella; goose,lsj,ταῦρος Ἀπόλλων ἑκατόμβη Σμινθεύς χαρίεις ναός ἐρέφω πίων μηρία καίω κραίνω ἔλδωρ,Iliad 1.41; Iliad 1.316; Iliad 1.66
κρατερός,0,3,1,,"strong, stout, mighty; stern, harsh; mighty, fierce; hard",lsj,μῦθος τέλλω,Iliad 1.379; Iliad 1.25; Iliad 1.326
τέλλω,0,3,1,,accomplish; perform; come into being; turns,lsj,κρατερός μῦθος,Iliad 1.379; Iliad 1.25; Iliad 1.326
ἀγορά,0,3,1,,assembly; of the People; Amphictyonic Council; conventus agere,lsj,δέκατος καλέω λαός Ἀχιλλεύς λύω ναῦς Ἀχαιός πωλέομαι κυδιάνειρα πόλεμος,Iliad 1.305; Iliad 1.54; Iliad 1.490
ἀείδω,0,3,1,,Il.Parv; sing; crow; hoot,lsj,καλός μῆνις θεά Πηλείδης Ἀχιλλεύς οὐλόμενος πανημέριος μολπή θεός ἱλάσκομαι παιάν κοῦρος,Iliad 1.604; Iliad 1.1; Iliad 1.473
οἴχομαι,0,3,1,,"come; go, go away, go off; he has gone, departed; he had gone",lsj,στρατός κῆλον θεός Θήβη ἱερός πόλις Ἠετίων χώομαι γέρων,Iliad 1.380; Iliad 1.53; Iliad 1.366
μητίετα,0,2,1,,counsellor; all-wise,lsj,Ζεύς τιμάω τίνω Ὀλύμπιος,Iliad 1.175; Iliad 1.508
ἄρχω,0,2,1,,"to be first; begin, make a beginning; to be the aggressor; to begin oneʼs",lsj,Ζεύς Ἥφαιστος κλυτοτέχνης ἀγορεύω μήτηρ φίλος ἐπίηρα φέρω λευκώλενος Ἥρα,Iliad 1.571; Iliad 1.495
ἀφύσσω,0,2,1,,draw; was drawn from; draw full draughts of; heap it up,lsj,οἴομαι ἄτιμος ἄφενος πλοῦτος θεός ἐνδέξιος πᾶς οἰνοχοέω γλυκύς νέκταρ κρατήρ,Iliad 1.171; Iliad 1.598
λανθάνω,0,2,1,,escape notice; escape; notice; donʼt know,lsj,Θέτις ἐφετμή παῖς,Iliad 1.561; Iliad 1.495
νόος,0,2,1,,"mind; sense, wit; prudently; senselessly",lsj,ἀγαθός θεοείκελος Ἀχιλλεύς κλέπτω παρέρχομαι πείθω ἐξαυδάω κεύθω οἶδα ἄμφω,Iliad 1.363; Iliad 1.132
Αἴας,0,2,1,,Ajax,lsj,αἱρέω Ὀδυσσεύς ἀνήρ δίδωμι εἶμι γέρας ἄγω εἷς ἀρχός βουληφόρος Ἰδομενεύς δῖος,Iliad 1.138; Iliad 1.145
ἐρέτης,0,2,1,,rowers; oars; era; aritár,lsj,ἀγείρω κρίνω,Iliad 1.309; Iliad 1.142
ἀρχός,0,2,1,,"leader, chief; ruler; dux Orientis; the rectum",lsj,ἀνήρ Ὀδυσσεύς εἷς βουληφόρος Αἴας Ἰδομενεύς δῖος Πηλείδης πᾶς ἔκπαγλος Ἑκάεργος ἱλάσκομαι,Iliad 1.144; Iliad 1.311
Κρονίδης,0,2,1,,son of Cronos; Zeus; an aged man,lsj,εὑρίσκω εὐρύοπα ἧμαι ἄκρος κορυφή πολυδειράς Ὄλυμπος αἰνός ποῖος μῦθος εἶπον,Iliad 1.498; Iliad 1.552
ἠέριος,0,2,1,,"early, at; with early morn; misty, dimly seen; high in air",lsj,ἀναβαίνω μέγας οὐρανός Ὄλυμπος παρέζομαι,Iliad 1.497; Iliad 1.557
ῥέζω,0,2,1,,"do, act, deal; do, accomplish, make; if once done; wronged",lsj,ἀνήρ ἱλάσκομαι ἱερός ἄναξ εἷς ἀρχός βουληφόρος Αἴας Ἰδομενεύς δῖος Ὀδυσσεύς Πηλείδης,Iliad 1.444; Iliad 1.147
μάχη,0,2,1,,,none,ἔρις φίλος πόλεμος φημί Τρώς ἀρήγω,Iliad 1.521; Iliad 1.177
ἠώς,0,2,1,,"dawn; light of day; morning; at morn, early",lsj,ἠριγένεια φαίνω ῥοδοδάκτυλος ἀνάγω στρατός εὐρύς Ἀχαιός δωδέκατος γίγνομαι Ὄλυμπος εἶμι θεός,Iliad 1.477; Iliad 1.493
αἰχμητής,0,2,1,,"spearman, warrior; pointed; spear-wielding; warlike",lsj,Τρώς ἔρχομαι μάχομαι αἴτιος τίθημι θεός προτίθημι ὄνειδος μυθέομαι,Iliad 1.290; Iliad 1.152
ἐλαύνω,0,2,1,,"drive, set in motion; drive; ride; row",lsj,βοῦς ἵππος Φθία ἐριβῶλαξ βωτιάνειρα καρπός1 δηλέομαι πολύς ὄρος σκιόεις θάλασσα ἠχήεις,Iliad 1.154; Iliad 1.575
Φθία,0,2,1,,Phthia; to Phthia; at Phthia; a man of Phthia,lsj,πολύς εἶμι βοῦς ἐλαύνω ἵππος ἐριβῶλαξ βωτιάνειρα καρπός1 δηλέομαι ὄρος σκιόεις θάλασσα,Iliad 1.155; Iliad 1.169
ὄρος,0,2,1,,"mountain, hill; canton, parish; desert",lsj,βοῦς ἐλαύνω ἵππος Φθία ἐριβῶλαξ βωτιάνειρα καρπός1 δηλέομαι πολύς σκιόεις θάλασσα ἠχήεις,Iliad 1.235; Iliad 1.157
ἕπομαι,0,2,1,,sacate; sequor; sèkti; saśc(a)-),lsj,μέγας ἀναιδής χαίρω τιμή ἄρνυμαι Μενέλαος κυνώπης Τρώς θεός πᾶς,Iliad 1.158; Iliad 1.424
ἀλεγίζω,0,2,1,,"trouble oneself about; care for, mind, heed",lsj,,Iliad 1.180; Iliad 1.160
ὀλίγος,0,2,1,,"little, small; small, low; not copious; slight",lsj,φίλος ἔρχομαι ἔχω ναῦς κάμνω πολεμίζω θυμός ἔνειμι,Iliad 1.167; Iliad 1.593
ἄτιμος,0,2,1,,"unhonoured, dishonoured; dishonourable; without the honour of.., not deemed worthy of; unworthy",lsj,οἴομαι ἄφενος πλοῦτος ἀφύσσω νημερτής ὑπισχνέομαι κατανεύω ἀπεῖπον δέος οἶδα ὅσος πᾶς,Iliad 1.516; Iliad 1.171
κοιμάω,0,2,1,,"lull, put to sleep; put to bed; still, calm; soothe, assuage",lsj,ἥλιος καταδύω κνέφας ἔρχομαι πρυμνήσιος ναῦς γλυκύς ὕπνος ἱκάνω,Iliad 1.610; Iliad 1.476
μῆνις,0,2,1,,wrath; revengeful temper,lsj,Ἀχιλλεύς ἀείδω θεά Πηλείδης οὐλόμενος κέλομαι Ζεύς φίλος μυθέομαι Ἀπόλλων ἑκατηβελέτης ἄναξ,Iliad 1.75; Iliad 1.1
καρτερός,0,2,1,,"strong, staunch; the strongest; possessed of, in control of, master of; steadfast, patient",lsj,θεός δίδωμι θεά γείνομαι μήτηρ φέρτατος πλείων ἀνάσσω,Iliad 1.178; Iliad 1.280
ὀνίνημι,0,2,1,,"profit, benefit, help; gratify, delight; benefit; will",lsj,Ζεύς ἔπος ἔργον ἔρχομαι Ὄλυμπος λίσσομαι καρδία πατήρ ἀθάνατος κραίνω ἔλδωρ,Iliad 1.395; Iliad 1.503
ὠκύπορος,0,2,1,,,none,ναῦς πάρημαι μηνίω Ἀχαιός διογενής Πηλεύς υἱός πούς ὠκύς Ἀχιλλεύς,Iliad 1.421; Iliad 1.488
γηθέω,0,2,1,,rejoice; will rejoice; rejoice in doing; impune,lsj,Πρίαμος παῖς Τρώς μέγας χαίρω θυμός πᾶς πυνθάνομαι μάρναμαι βουλή Δαναοί μάχομαι,Iliad 1.330; Iliad 1.255
πάρημαι,0,2,1,,to be seated beside; seated by; seated at; dwell beside,lsj,ναῦς ὠκύπορος μηνίω Ἀχαιός διογενής Πηλεύς υἱός πούς ὠκύς Ἀχιλλεύς,Iliad 1.421; Iliad 1.488
ὠκύμορος,0,2,1,,,none,πέλω ὀιζυρός πᾶς τιμάω υἱός,Iliad 1.417; Iliad 1.505
αἶσα,0,2,1,,,none,ὀφείλω ναῦς ἀδάκρυτος ἀπήμων ἧμαι κακός τίκτω μέγαρον,Iliad 1.416; Iliad 1.418
αἰνός,0,2,1,,"dread, horrible; dread, terrible; terribly; strangely, exceedingly",lsj,τέκνον τρέφω τίκτω Κρονίδης ποῖος μῦθος εἶπον,Iliad 1.414; Iliad 1.552
ἐπιχθόνιος,0,2,1,,"upon the earth, earthly; earthly ones, men on earth; who haunt the earth; natives",lsj,κράτιστος τρέφω ἀνήρ βροτός μάχομαι,Iliad 1.266; Iliad 1.272
παρέζομαι,0,2,1,,sit beside,lsj,Ἀχαιός μιμνήσκω λαμβάνω γόνυ ἐθέλω Τρώς ἀρήγω πρύμνα ἅλς1 εἴλω κτείνω πᾶς,Iliad 1.407; Iliad 1.557
βία,0,2,1,,"bodily strength, force; act of violence; against; will, in spite of",lsj,πατήρ ἀμείνων λείπω χώομαι θυμός εὔζωνος γυνή ἀέκων ἀπαυράω,Iliad 1.430; Iliad 1.404
μακρός,0,2,1,,long; ships of war; the longer sides; length-wise,lsj,καλέω ἔρχομαι θεά ὑπολύω δεσμός ἑκατόγχειρος Ὄλυμπος Βριάρεως θεός ἀνήρ πᾶς Αἰγαίων,Iliad 1.486; Iliad 1.402
κῦδος,0,2,1,,"glory, renown; glory",lsj,βασιλεύς Πηλείδης ἐθέλω ἐρίζω ὁμοῖος μείρομαι τιμή σκηπτοῦχος Ζεύς δίδωμι Κρονίων καθέζομαι,Iliad 1.279; Iliad 1.405
σημαίνω,0,2,1,,"show by a sign, indicate, point out; after indicating; you have; shown you",lsj,πᾶς κρατέω ἐθέλω ἀνάσσω πείθω οἴομαι,Iliad 1.296; Iliad 1.289
μέγαρον,0,2,1,,"large room, hall; the chief room; womenʼs apartment; bedchamber",lsj,πατήρ ἀκούω εὔχομαι φημί κελαινεφής Κρονίων οἶος ἀθάνατος ἀεικής λοιγός ἀμύνω συνδέω,Iliad 1.418; Iliad 1.396
ἀναιρέω,0,2,1,,"take up; having raised; take up and carry off, bear away; make away with, destroy",lsj,θοός ναῦς μέλας φέρω ἀέκων χερνίπτομαι οὐλοχύται,Iliad 1.449; Iliad 1.301
Πύλος,0,2,1,,Pylos,lsj,γενεά μέροψ ἄνθρωπος φθίω τρέφω γίγνομαι ἠγάθεος μεθομιλέω ἔρχομαι ἄπιος γαῖα,Iliad 1.269; Iliad 1.252
πολύμητις,0,2,1,,of many counsels,lsj,Ὀδυσσεύς ἀρχός βαίνω βωμός ἄγω πατήρ φίλος χείρ τίθημι,Iliad 1.311; Iliad 1.440
κέλευθος,0,2,1,,"road, path; the streets; paths, orbits; path",lsj,ἀναβαίνω ἐπιπλέω ὑγρός θέω κῦμα διαπράσσω,Iliad 1.483; Iliad 1.312
ἀπολυμαίνομαι,0,2,1,,cleanse oneself by bathing; from an,lsj,λαός Ἀτρείδης ἄνωγα,Iliad 1.313; Iliad 1.314
ἀτρύγετος,0,2,1,,"unharvested, barren; never worn out, unresting",lsj,θίς ἅλς1 ἔρδω Ἀπόλλων τελήεις ἑκατόμβη ταῦρος αἴξ ἀέκων βαίνω,Iliad 1.327; Iliad 1.316
οὐρανός,0,2,1,,"heaven; vault; firmament of heaven, sky; Heaven",lsj,κνῖσα ἱκνέομαι ἑλίσσω καπνός ἠέριος ἀναβαίνω μέγας Ὄλυμπος,Iliad 1.497; Iliad 1.317
τέκνον,0,2,1,,"child; my son, my child; young",lsj,κλαίω τρέφω αἰνός τίκτω,Iliad 1.414; Iliad 1.362
ἀναδύνω,0,2,1,,come to the top of the water; emerge,lsj,πολιός ἅλς1 ὀμίχλη κῦμα θάλασσα,Iliad 1.359; Iliad 1.496
ῥίγιον,0,2,1,,,none,,Iliad 1.563; Iliad 1.325
εὑρίσκω,0,2,1,,"find; find that; found; find means, be able",lsj,ἧμαι κλισία ναῦς μέλας εὐρύοπα Κρονίδης ἄκρος κορυφή πολυδειράς Ὄλυμπος,Iliad 1.329; Iliad 1.498
διογενής,0,2,1,,sprung from Zeus; ordained and upheld by Zeus; divine,lsj,Πάτροκλος ἐξάγω κόρη μηνίω ναῦς πάρημαι ὠκύπορος Πηλεύς υἱός πούς ὠκύς Ἀχιλλεύς,Iliad 1.489; Iliad 1.337
Πάτροκλος,0,2,1,,Patroclus,lsj,διογενής ἐξάγω κόρη φίλος ἐπιπείθομαι ἑταῖρος,Iliad 1.337; Iliad 1.345
θνητός,0,2,1,,"liable to death, mortal; mortals; mortal women; mortal creatures",lsj,θεός μάρτυρος μάκαρ ἄνθρωπος βασιλεύς ἀπηνής χρεώ γίγνομαι ἀεικής λοιγός ἀμύνω λοίγιος,Iliad 1.339; Iliad 1.574
ὀφέλλω,0,2,1,,"increase, enlarge, strengthen; raises high; multiply; add to",lsj,τιμή μήτηρ τίκτω μινυνθάδιος Ὀλύμπιος ἐγγυαλίζω Ζεύς ὑψιβρεμέτης Τρώς τίθημι κράτος Ἀχαιός,Iliad 1.510; Iliad 1.353
γυνή,0,2,1,,"woman; man; mistress, lady; the lasses",lsj,ἀέκων κίω λείπω χώομαι θυμός εὔζωνος βία ἀπαυράω,Iliad 1.429; Iliad 1.348
πένθος,0,2,1,,"grief, sorrow; for; mourning; a public mourning",lsj,μέγας Ἀχαιΐς γαῖα ἱκάνω φρήν ἱκνέομαι,Iliad 1.362; Iliad 1.254
δωδέκατος,0,2,1,,twelfth,lsj,Ὄλυμπος ἔρχομαι γίγνομαι ἠώς εἶμι θεός πᾶς,Iliad 1.493; Iliad 1.425
